W1,F
modi,2913
pm,2359
india,1885
ji,1688
people,1120
vote,1064
govt,834
elections,781
one,773
government,746
seats,737
like,698
time,662
election,644
sir,628
minister,605
get,578
alliance,573
country,567
win,566
new,564
want,558
party,550
years,526
make,505
via,484
good,483
namo,473
also,469
dont,462
nation,455
see,448
us,444
prime,438
work,437
says,437
great,426
lok,422
today,417
need,411
may,407
polls,401
opposition,400
indian,395
power,390
even,379
support,375
done,373
take,371
ahead,371
said,370
narendra,368
last,362
leader,360
would,359
well,355
app,338
going,337
come,325
state,320
know,320
year,315
political,315
leaders,311
day,310
first,306
many,304
every,302
think,298
must,293
watch,292
say,288
give,285
please,282
thank,281
campaign,280
development,276
thanks,264
hope,260
parties,260
shri,257
coming,254
right,254
way,249
still,249
president,246
upcoming,246
next,246
contest,246
high,244
much,241
go,240
never,239
politics,239
read,235
rs,235
man,233
general,232
really,231
fight,228
modiji,225
made,224
live,222
vs,222
media,221
national,220
needs,218
news,215
voters,213
help,211
states,210
farmers,210
indians,209
congratulations,207
together,206
class,202
lets,202
yes,200
months,199
let,199
cant,196
cm,195
mp,193
keep,190
true,190
reservation,190
poll,187
sure,187
chief,183
world,182
passed,181
defeat,180
wants,179
getting,179
nda,179
another,177
tax,176
poor,176
could,175
speech,174
thats,173
modis,169
dear,168
happy,168
votes,167
mr,166
crore,166
always,166
ppl,165
change,164
jai,164
working,162
women,162
lakh,162
since,161
stop,158
towards,156
hai,155
corrupt,155
till,154
shah,153
middle,153
money,152
got,151
lost,151
clear,150
results,150
strong,150
two,150
corruption,150
majority,149
economically,148
proud,147
hard,147
matter,147
seat,147
reason,146
making,145
look,145
leadership,144
save,144
without,142
days,142
sena,141
love,139
seen,139
ever,138
common,138
historic,138
share,138
future,137
show,136
nothing,136
video,136
face,136
life,136
family,135
hindu,134
full,133
history,133
join,132
mps,132
rally,131
set,131
soon,131
visit,130
start,130
parliament,130
amit,130
winning,127
growth,127
indias,126
hon,126
delhi,125
started,125
ls,125
issues,124
west,124
real,123
meeting,122
understand,122
called,122
led,122
everyone,121
ur,120
wont,120
decision,120
step,120
doesnt,119
free,119
taken,119
lot,118
likely,117
call,117
hindus,117
economy,117
else,116
tamil,115
enough,115
given,115
caste,114
comes,114
team,114
voting,113
long,113
things,112
upper,112
vision,112
stand,111
already,110
trying,109
quota,109
youth,109
aiadmk,109
per,109
term,108
shiv,108
lose,108
income,108
scheme,108
agenda,107
meet,106
put,106
taking,105
top,105
gets,105
part,105
happen,104
issue,104
ready,103
supporters,102
something,102
maharashtra,101
follow,101
cong,101
hind,100
josh,100
ensure,100
feel,100
victory,99
decide,99
major,98
workers,98
rule,98
amendment,97
huge,97
person,97
nadu,96
single,96
yet,96
knows,96
move,96
post,95
away,95
fake,95
others,95
waiting,94
wish,94
address,93
god,93
manifesto,93
name,92
deal,92
muslim,92
pradesh,92
spread,92
seems,92
giving,92
times,92
ruling,91
left,91
jan,91
saying,91
friends,90
democracy,90
around,90
citizens,90
due,90
court,89
among,89
ground,89
finally,88
request,88
ram,88
centre,87
union,87
pappu,87
end,86
care,86
announce,86
passes,86
hold,86
promises,85
past,85
game,85
economic,85
across,85
updates,85
tell,85
health,85
tn,84
lies,84
home,84
different,84
lead,84
reality,83
respect,83
interest,83
use,83
governance,83
agree,83
speak,83
difference,82
thing,82
five,82
ka,82
less,82
report,82
politicians,82
action,82
choose,81
gift,81
constitution,81
announced,80
shows,80
schemes,79
question,79
army,79
yrs,78
attack,78
entire,78
choice,78
plz,78
wait,77
ho,77
movie,77
voted,77
anti,77
instead,77
means,76
run,76
survey,76
act,76
wins,76
ki,76
tweet,76
hands,75
social,75
don’t,75
case,75
important,75
candidate,75
talk,75
category,75
reply,75
projects,74
goes,74
anything,74
gujarat,74
list,73
card,73
honest,73
india’s,73
looks,72
message,72
everything,72
truth,72
works,72
welcome,72
place,72
continue,72
twitter,71
form,71
efforts,71
clean,71
progress,71
etc,71
war,71
sp,71
passing,71
trust,71
se,70
it’s,70
nota,70
chance,70
house,70
answer,70
result,70
key,70
ask,69
sc,69
cr,69
pls,69
alone,69
present,69
kerala,68
head,68
looking,68
actually,68
level,68
hand,68
allies,68
constituency,68
gst,68
questions,68
karnataka,67
happened,67
singh,67
moment,67
mind,67
pakistan,67
im,67
least,67
create,67
stay,67
facts,66
talks,66
pass,66
gives,66
whatever,66
return,66
gave,66
used,66
pledge,66
sh,65
wave,65
point,65
three,65
listen,65
central,65
plan,65
castes,65
tomorrow,64
came,64
whether,64
inflation,64
kind,64
anyone,64
whole,64
strategy,64
ko,64
ke,64
award,63
interview,63
increase,63
opinion,63
weaker,63
loss,63
focus,63
success,63
announces,63
talking,63
loan,63
kashmir,62
upa,62
mamata,62
writes,62
triple,62
supreme,62
inc,62
cannot,62
rahul,62
leave,62
united,62
voter,61
second,61
words,61
try,61
committee,61
definitely,60
open,60
tough,60
forget,60
mandir,60
cost,60
heres,60
asks,60
current,60
happening,60
thread,60
scam,60
worry,60
hate,60
forward,59
jee,59
lakhs,59
hit,59
rajasthan,59
thought,59
old,59
announcement,59
might,59
asked,59
losing,59
sharing,58
failed,58
data,58
society,58
ministers,58
todays,58
within,58
forces,58
press,58
needed,58
fall,57
far,57
positive,57
takes,57
took,57
someone,57
including,57
guys,57
held,57
recent,57
security,57
wrong,57
mega,56
supporting,56
expected,56
former,56
sections,56
creating,56
front,56
paid,55
hear,55
total,55
chor,55
importance,55
vikas,55
rafale,54
created,54
dynasty,54
policy,54
fear,54
various,54
sarkar,54
justice,54
rallies,53
jis,53
peoples,53
propaganda,53
asking,53
word,53
foreign,53
photo,53
feeling,53
culture,53
defence,53
massive,53
pmk,53
small,53
either,53
play,53
electoral,52
showing,52
confident,52
aap,52
interesting,52
clearly,52
mandate,52
section,52
situation,52
retain,52
rest,52
temple,52
citizenship,52
promise,51
modi’s,51
hv,51
role,51
achievements,51
law,51
govts,51
track,51
reach,50
sri,50
pic,50
rate,50
governments,50
fact,50
weak,50
near,50
session,50
excellent,50
safe,50
seatsharing,49
committed,49
side,49
strike,49
talaq,49
performance,49
speaks,49
system,49
wow,49
picture,49
wake,49
hows,49
tmc,49
makes,48
low,48
happens,48
order,48
odisha,48
road,48
discuss,48
following,48
interim,48
wisely,48
reject,48
despite,48
grand,48
group,48
surely,48
plans,48
expect,48
largest,47
scared,47
candidates,47
provide,47
almost,47
seriously,47
course,47
leading,47
along,47
highest,47
target,47
option,47
upto,47
mistake,47
kudos,47
january,47
late,47
shame,46
sector,46
goyal,46
piyush,46
launch,46
loot,46
forever,46
relief,46
main,46
communal,46
narrative,46
worst,46
whats,46
note,46
final,46
reasons,46
worth,46
politician,46
initiative,46
challenge,45
story,45
train,45
coverage,45
eyes,45
students,45
transformation,45
non,45
check,45
land,45
running,45
jhunjhunwala,44
repeat,44
appointed,44
remove,44
turn,44
heart,44
railways,44
praise,44
community,44
houses,44
can’t,44
pay,44
didnt,44
close,43
month,43
south,43
congrats,43
surgical,43
faith,43
strength,43
lives,43
received,43
wil,43
motion,43
pradhan,43
developing,43
worlds,43
rather,43
assam,43
special,43
guess,43
several,43
sense,43
promised,43
reforms,42
matters,42
har,42
otherwise,42
amazing,42
rakesh,42
impact,42
young,42
atleast,42
terror,42
false,42
uttar,42
senior,42
confidence,42
crucial,42
short,42
analysis,42
surprise,42
model,42
tv,41
statement,41
mla,41
roads,41
learn,41
however,41
hence,41
that’s,41
rights,41
lpg,41
millions,41
reports,41
wanted,41
price,41
voice,41
alternative,41
office,41
core,41
fast,41
spreading,41
earlier,41
mark,40
serve,40
pride,40
empowerment,40
using,40
conference,40
truly,40
speaking,40
view,40
worked,40
elect,40
education,40
opportunity,40
coalition,40
article,40
stronger,40
heard,40
north,40
decisions,40
wishes,40
super,39
sources,39
ordinance,39
failure,39
stage,39
easy,39
credit,39
telangana,39
self,39
welfare,39
investor,39
ndtv,39
finance,38
mayawati,38
totally,38
families,38
find,38
completed,38
ticket,38
achieved,38
shall,38
approves,38
mission,38
institutions,38
tweets,38
regime,38
rss,38
service,38
keeping,38
scams,38
farmer,38
kick,38
account,38
goal,38
example,38
uddhav,38
srcs,37
steps,37
favour,37
loose,37
changing,37
growing,37
yojana,37
four,37
launched,37
mean,37
gang,37
cause,37
thinking,37
thackeray,37
quality,37
vijay,37
decades,37
ease,37
trend,37
isnt,37
rural,37
religion,37
link,37
suggestions,37
international,37
imagine,37
film,37
gadkari,37
fighting,37
week,37
master,37
hes,37
though,37
nahi,37
desperate,36
seeing,36
project,36
prove,36
jaitley,36
terrorist,36
ayushman,36
dmdk,36
visionary,36
correct,36
required,36
haters,36
throw,36
incharge,36
watching,36
gdp,36
son,36
lesson,36
line,36
countries,36
idea,36
night,36
force,36
men,36
elected,36
allow,36
congi,36
loans,36
eye,35
loses,35
except,35
exactly,35
stands,35
fr,35
farm,35
policies,35
regional,35
resolution,35
mood,35
nd,35
religious,35
hi,35
yadav,35
population,35
targeted,35
slogan,35
decided,35
equality,35
sweep,35
ganga,35
early,34
market,34
playing,34
electricity,34
kolkata,34
million,34
unite,34
slap,34
police,34
terrorists,34
salute,34
march,34
china,34
mlas,34
rise,34
changed,34
accounts,34
zero,34
nationalist,34
remain,34
yogi,34
paying,34
process,34
deserve,34
dream,33
latest,33
crores,33
ensuring,33
terrorism,33
mamta,33
position,33
chennai,33
looters,33
saw,33
living,33
round,33
dignity,33
popularity,33
fool,33
illegal,33
approved,33
children,33
simple,33
wonderful,33
previous,32
services,32
death,32
access,32
lowest,32
completely,32
healthcare,32
official,32
achievement,32
wedding,32
reduced,32
told,32
democratic,32
"jee🙏🇮🇳💪😇""for",32
control,32
uk,32
starts,32
verdict,32
transformation.our,32
educated,32
initiatives,32
madhya,32
aur,32
hatred,32
personal,31
saffron,31
gonna,31
alliances,31
ye,31
faces,31
anger,31
infrastructure,31
online,31
ace,31
race,31
thinks,31
options,31
known,31
aspirations,31
especially,31
actions,31
killed,31
nice,31
repeated,31
appeal,31
sorry,31
continues,31
parliamentary,31
lower,31
successfully,31
yesterday,31
varanasi,31
later,31
jay,30
ones,30
played,30
ind,30
water,30
went,30
cities,30
gas,30
pms,30
leads,30
groups,30
hats,30
peace,30
terms,30
unity,30
secular,30
didi,30
threat,30
helped,30
effect,30
gain,30
outcome,30
energy,30
inaugurate,30
awesome,30
raising,30
delivered,30
ap,30
employees,30
crooks,30
hindi,30
jail,30
in…,29
cash,29
era,29
increased,29
district,29
smart,29
partys,29
predicted,29
kept,29
mantri,29
ally,29
mallya,29
construction,29
image,29
apart,29
claims,29
contesting,29
record,29
information,29
theres,29
kya,29
lotus,29
rules,29
prices,29
forming,29
father,29
let’s,29
effort,29
decisive,29
presented,29
charge,29
maximum,29
gone,29
changes,29
spokesperson,29
ha,28
andhra,28
counter,28
views,28
serious,28
attacks,28
dedicated,28
whos,28
respected,28
arun,28
coz,28
turned,28
planning,28
presidents,28
destroy,28
telling,28
ignore,28
deliver,28
journey,28
movies,28
ways,28
hell,28
calling,28
half,28
freedom,28
achieve,28
discussion,28
channels,28
consider,28
protest,28
soldiers,28
cards,28
mein,28
fought,28
experience,28
amid,28
destroyed,28
presidential,28
fm,28
phir,27
match,27
drive,27
direct,27
rid,27
east,27
points,27
constitutional,27
treatment,27
modishah,27
fastest,27
extradition,27
railway,27
reservations,27
complete,27
whip,27
indeed,27
mode,27
ruled,27
dmk,27
changer,27
spend,27
cut,27
dirty,27
usual,27
safety,27
prepare,27
shameless,27
ayes,27
hours,27
oppose,27
implement,27
sign,27
details,27
add,27
teach,27
cast,27
similar,27
gains,27
strengthen,27
drama,27
ne,27
naidu,26
guy,26
according,26
addressing,26
none,26
puducherry,26
tourism,26
lie,26
deserves,26
supporter,26
wonder,26
measures,26
independence,26
city,26
test,26
sentiment,26
witness,26
unprecedented,26
improve,26
poverty,26
sm,26
tenure,26
gimmick,26
calls,26
sad,26
dynamic,26
fan,26
foundation,26
janata,26
healthy,25
cg,25
whose,25
allowed,25
starting,25
janta,25
whenever,25
karyakartas,25
perfect,25
constituencies,25
ministry,25
citizen,25
campaigning,25
fails,25
mata,25
paper,25
neither,25
ill,25
send,25
nations,25
regarding,25
negative,25
protect,25
large,25
festival,25
chhattisgarh,25
attention,25
taxes,25
evm,25
