W1,F
congress,864
seats,196
party,156
modi,119
elections,113
win,113
vote,111
india,108
people,100
pm,95
alliance,94
lok,89
election,88
says,87
please,77
like,76
polls,75
parties,74
one,74
time,73
govt,70
pradesh,65
years,64
states,63
minister,59
power,58
rahul,57
get,57
political,57
detailed,56
votes,53
gandhi,53
ahead,53
said,53
leader,53
mp,53
think,51
opposition,50
government,50
madhya,49
fight,48
log,47
version,47
contest,46
state,46
dont,46
epaper,46
country,46
even,45
take,45
voters,44
defeat,42
ji,42
make,41
chief,41
live,41
would,40
may,40
candidate,40
want,40
politics,39
two,39
support,37
going,37
indian,37
good,36
see,36
today,36
majority,36
next,35
wins,35
give,34
still,34
seat,34
cm,34
vs,33
delhi,32
updates,32
great,32
national,31
results,31
also,31
never,31
need,31
way,31
president,30
last,30
high,29
join,29
media,29
rajasthan,29
come,29
right,28
know,28
done,28
work,28
go,28
hai,28
leaders,27
must,27
every,27
well,27
many,27
much,27
poll,26
read,26
lost,26
day,26
clear,25
family,24
follow,24
anti,24
money,24
loss,24
say,24
politicians,23
nation,23
track,23
ndtv,23
made,23
prime,23
watch,23
coming,22
shows,22
us,22
upcoming,22
post,22
new,22
share,22
since,22
sure,21
leads,21
form,21
keep,21
singh,21
got,20
rafale,20
taken,20
corrupt,20
general,20
regional,20
lose,20
hindus,20
via,20
parliament,20
deal,20
reason,19
voted,19
allies,19
part,19
nota,19
former,19
campaign,19
led,19
could,19
hands,18
use,18
let,18
help,18
another,18
game,18
set,18
understand,17
lead,17
narendra,17
first,17
simple,17
front,17
towards,17
strong,17
comes,17
end,17
news,17
mighty,16
corruption,16
makes,16
year,16
committed,16
joined,16
days,16
however,16
ruling,16
ki,16
gets,16
gali,16
analysis,16
hindu,16
choice,16
times,16
uttar,16
passed,16
voting,15
face,15
likely,15
huge,15
thanks,15
pappu,15
takes,15
remain,15
wants,15
leading,15
dmk,15
development,15
ls,15
review,15
given,15
needs,15
instead,15
polity,14
touched,14
winning,14
left,14
term,14
sp,14
controlled,14
rs,14
joining,14
less,14
making,14
evm,14
stop,14
muslim,14
predicted,14
anything,14
expected,14
crimes,14
show,14
loan,14
close,14
mps,14
others,14
move,14
difference,13
along,13
fighting,13
three,13
victory,13
congress’,13
aap,13
choose,13
aiadmk,13
lets,13
priyanka,13
getting,13
shame,13
centre,13
called,13
ensure,13
mayawati,12
result,12
losing,12
mla,12
trying,12
really,12
knows,12
always,12
security,12
mlas,12
looks,12
economy,12
short,12
yrs,12
joins,12
claims,12
impact,12
side,12
change,12
opinion,12
report,12
together,12
rule,12
