W1,F
congress,2888
gandhi,834
party,730
vote,710
rahul,710
pm,512
india,477
modi,446
people,404
like,398
president,377
ji,374
one,342
minister,332
seats,328
elections,326
time,323
election,320
says,312
today,293
leader,279
new,272
country,271
get,258
lok,245
polls,242
see,236
even,227
make,226
politics,226
dont,224
said,223
want,221
live,221
contest,220
years,217
win,215
pradesh,210
alliance,207
govt,203
chief,202
voice,201
would,200
power,196
family,195
know,192
also,192
general,192
government,183
women,181
first,181
us,177
good,174
leaders,167
please,166
well,163
watch,162
going,159
go,158
priyanka,154
work,152
opposition,152
political,151
state,150
take,148
many,148
think,144
future,144
may,142
much,142
next,142
need,140
house,136
give,136
sir,136
day,135
say,135
mp,133
nation,133
seat,132
rajasthan,132
ahead,131
parliament,131
read,129
support,127
updates,127
great,126
never,125
must,124
done,124
indian,124
rafale,123
last,122
every,122
still,121
prime,121
strength,120
upcoming,119
fight,118
right,117
come,117
needs,116
national,115
keep,114
secretary,113
deal,112
sonia,111
campaign,109
candidate,108
two,107
parties,106
meeting,105
mr,105
issue,105
jai,104
sure,103
lies,103
track,101
defence,100
ever,100
news,99
speech,98
year,98
cm,98
another,97
made,97
way,96
face,96
ndtv,95
fake,94
love,93
states,93
media,92
real,90
via,90
money,89
hai,89
show,89
madhya,89
pappu,88
farmers,88
given,88
nothing,87
delhi,86
really,86
let,85
follow,85
till,84
results,83
hope,82
votes,81
left,81
appointed,80
always,80
question,79
full,79
office,79
cant,79
wants,79
look,78
dear,78
gandhis,78
vs,77
wont,77
man,77
voters,77
play,76
making,76
set,76
corruption,75
old,75
defeat,75
lost,75
ur,75
narendra,74
singh,74
coming,74
name,74
scam,73
passed,72
ki,72
issues,72
join,72
world,72
team,71
since,71
rs,71
getting,71
east,71
rule,71
without,70
yes,70
away,70
poor,70
poll,69
entry,69
thats,69
development,69
speaker,69
working,68
stop,68
meet,68
uttar,68
could,68
true,67
doesnt,67
congress’,67
dynasty,67
high,67
called,67
trying,67
post,66
vadra,66
committee,66
indians,66
corrupt,65
upa,65
thank,65
congratulations,65
help,65
decide,64
started,64
days,64
put,64
ready,64
tax,64
amethi,64
progress,63
democracy,63
trump,63
run,63
paper,63
got,63
times,63
workers,63
shri,63
change,63
dmk,62
im,62
action,62
mps,62
save,62
former,61
person,61
answer,61
history,61
victory,61
video,61
taking,60
finally,60
part,60
ls,59
ppl,59
chor,59
comes,59
understand,59
shame,59
rally,58
things,58
long,58
voted,58
hard,58
cong,57
strong,57
already,57
led,57
candidates,57
happy,56
seen,56
freedom,56
sp,56
seems,55
discussion,55
free,55
everyone,55
start,55
coverage,55
thing,55
ka,55
saying,55
looks,55
truth,55
lets,55
attack,54
reason,54
end,54
together,53
leads,53
months,53
alone,52
case,52
muslim,51
unity,51
anything,51
use,51
constituency,50
ask,50
chance,50
else,50
chhattisgarh,50
deserve,50
promises,50
questions,50
elected,50
tape,49
shows,49
voting,49
prove,49
aicc,49
decision,49
likely,49
looking,49
visit,48
senior,48
talk,48
gets,48
lie,48
special,48
express,48
peace,48
wins,48
asked,48
thanks,48
took,47
enough,47
agenda,47
entire,47
plan,47
ani,47
didnt,47
choose,47
common,46
leadership,46
youth,46
address,46
term,46
something,46
hindu,45
idea,45
clear,45
soon,45
sachin,45
it’s,45
happen,45
life,45
move,45
past,45
yet,45
instead,44
speak,44
trust,44
young,44
per,44
majority,43
reply,43
matter,43
actually,43
including,43
don’t,43
twitter,43
america,42
stand,42
ashok,42
sharing,42
three,42
place,42
manifesto,42
might,42
lead,41
different,41
form,41
pilot,41
interesting,41
class,41
knows,41
active,41
someone,41
loan,41
etc,41
week,41
giving,41
tell,40
point,40
hate,40
facts,40
towards,40
constructiveness,40
least,40
income,40
american,40
share,40
farm,40
main,39
motion,39
hands,39
speaking,39
cannot,39
gave,39
court,39
level,39
raga,39
telangana,39
pass,38
citizens,38
proud,38
gautam,38
less,38
democrats,38
