W1,F
election,3045
vote,2041
elections,2003
people,1555
party,1353
time,1133
one,1099
political,1037
india,1027
like,963
new,952
get,952
us,933
today,921
lok,861
make,801
says,800
pm,789
day,735
would,728
want,725
parties,716
dont,708
country,706
need,705
government,696
see,659
minister,655
may,655
go,652
know,647
state,633
seats,608
good,589
polls,588
passed,584
voters,582
contest,578
said,576
voting,575
watch,562
also,558
read,553
ahead,551
analysis,541
first,541
live,531
year,531
inec,529
upcoming,528
govt,525
going,524
please,516
years,516
politics,513
next,502
think,502
right,497
come,488
general,482
even,479
president,478
alliance,477
amendment,474
coming,473
win,472
click,471
still,471
take,465
must,464
till,463
campaign,458
chief,455
candidate,446
votes,444
opposition,433
last,427
trends,425
adjourned,424
news,424
detailed,417
call,416
national,413
well,413
many,412
media,402
power,398
way,388
indian,386
candidates,376
results,375
work,374
women,373
days,362
support,360
every,354
give,350
leader,346
money,346
parliament,340
say,340
house,338
leads+results,338
via,329
poll,329
mps,317
passes,314
hope,308
much,307
let,307
leaders,302
change,301
never,294
lets,290
could,290
cant,289
two,286
another,286
politicians,285
updates,285
issues,274
seat,274
electoral,273
use,272
old,271
ready,268
done,268
made,263
presidential,262
voter,258
speaker,256
issue,256
announced,254
deal,254
part,252
stop,251
really,250
social,248
tomorrow,248
mp,247
it’s,245
commission,245
look,244
week,243
full,242
reservation,241
great,239
join,239
pradesh,237
nation,236
already,235
since,235
show,234
polling,234
likely,233
future,229
question,228
home,227
set,227
follow,226
months,226
sir,226
delhi,224
free,223
important,223
constitution,220
yet,218
fight,218
start,218
union,218
making,217
help,216
got,216
discussion,215
march,215
long,214
sure,214
put,213
list,210
around,210
given,205
ji,204
rights,202
don’t,202
economically,201
meeting,199
centre,199
democracy,199
states,198
office,198
keep,195
needs,195
check,194
register,194
place,192
date,192
thing,192
man,192
held,191
wont,191
top,190
name,190
registration,190
getting,189
without,188
january,187
anc,187
tell,186
address,185
away,184
wants,184
registered,182
quota,181
muslim,181
everyone,181
nothing,181
postponed,180
soon,180
plan,179
end,178
tax,176
apc,176
term,176
unit,175
left,174
love,174
run,174
per,173
session,173
local,173
world,173
always,172
former,172
final,171
something,169
poor,169
post,169
action,168
wait,168
youth,167
thank,167
real,167
high,167
cm,165
citizens,165
im,163
law,163
corruption,162
ever,162
report,162
protection,162
happen,160
things,160
god,159
rs,159
life,159
majority,159
introduced,157
yes,157
thanks,157
survey,157
enough,156
education,155
working,154
called,154
dear,154
farmers,154
open,153
visit,153
sp,152
huge,152
security,152
started,152
changing,151
decide,151
lot,151
due,150
share,150
community,149
together,149
find,148
looking,148
fake,148
stay,148
thats,147
matter,147
saying,146
waiting,146
data,146
strong,145
doesnt,144
hours,144
prime,144
case,143
anyone,143
latest,143
someone,143
postponement,143
gets,143
move,142
speech,142
lead,142
seems,142
act,141
process,141
rule,140
giving,140
taken,140
continue,139
provide,139
ls,138
hold,138
level,138
happy,136
voice,135
true,135
voted,135
comes,135
story,135
interesting,134
fears,134
family,134
finally,133
sharing,133
team,133
nda,133
aiadmk,133
decision,133
details,133
cannot,133
meet,133
person,133
lost,132
ask,132
taking,132
morning,132
clear,131
care,131
announce,131
committee,131
corrupt,131
pay,130
face,130
play,130
understand,130
anything,130
system,130
choice,129
might,129
times,128
contesting,128
less,128
twitter,127
heard,127
crore,127
speaks,126
point,126
video,125
ground,125
feel,125
trying,124
talaq,124
current,123
tweet,123
cast,123
reports,123
indias,122
rally,122
policy,122
others,122
ensure,121
track,121
constituency,121
heres,121
laws,121
defence,121
used,120
key,120
statement,120
leadership,119
takes,119
independent,119
manifesto,119
upper,118
role,118
dr,118
among,117
economy,117
major,117
terrain,117
focus,117
category,116
city,116
present,116
madhya,116
running,116
expected,116
young,116
idea,115
jan,115
following,115
rajasthan,114
stand,114
promises,114
weekend,113
postpone,113
thoughtfactory,113
da,113
dates,113
wrong,113
fair,113
hear,113
mean,113
coverage,113
wish,112
guys,112
towards,112
everything,111
saturday,111
economic,111
across,111
least,111
agenda,111
talk,111
link,110
discussed,110
didnt,110
mr,110
different,110
far,110
citizenship,109
past,109
elected,109
triple,109
using,109
wins,108
head,108
water,108
instead,108
seen,108
means,108
paper,108
hard,107
step,107
growth,107
opinion,107
result,107
ec,107
pass,107
id,106
including,106
the…,106
hands,106
game,106
market,106
mess,105
tv,105
trust,104
mind,103
asks,103
online,103
federal,103
truth,103
press,102
society,102
vs,102
tdp,102
war,102
whole,102
answer,102
suspended,101
caste,101
parliamentary,101
opportunity,100
update,100
singh,100
sa,100
took,100
choose,100
forward,100
demand,100
history,99
decided,99
pmk,99
ndtv,99
development,99
three,99
oh,99
million,99
official,99
group,99
fact,99
land,99
children,99
talking,98
police,98
atiku,98
hai,97
makes,97
lakh,97
questions,97
shows,96
reason,96
looks,96
cause,96
control,96
discuss,96
forget,96
card,95
happening,95
etc,95
lose,95
reply,95
pvc,94
five,94
winning,94
thought,93
actually,93
joint,93
west,93
court,93
counting,93
allow,93
launch,93
central,92
telangana,92
todays,92
speak,92
near,92
message,92
little,92
knows,92
peoples,92
caused,92
special,92
season,92
form,91
leave,91
along,91
lagos,91
matters,91
second,91
chance,91
peace,91
south,91
pdp,90
companies,90
ur,90
early,90
article,90
council,90
various,89
points,89
asked,89
closer,89
agree,89
school,89
paid,89
loan,88
almost,88
order,88
starts,88
victory,88
whats,88
deputy,88
road,88
class,88
dey,88
protest,87
district,87
within,87
goes,87
though,87
uttar,87
close,87
men,86
stations,86
front,86
talks,86
leading,86
friends,86
thursday,86
interview,85
defeat,85
hour,85
weaker,85
yesterday,85
try,85
income,85
dmk,85
personal,84
else,84
entire,84
regulation,84
forthcoming,84
surrogacy,84
small,84
speaking,84
plans,84
either,84
age,83
lies,83
wonder,83
tories,83
told,83
whether,83
platform,83
pray,83
governor,83
amid,83
to…,83
announcement,83
race,83
failed,82
happened,82
april,82
ppl,82
sources,82
kind,82
prepare,82
politician,82
isnt,82
youre,81
monday,81
violence,81
sections,81
expect,81
noon,81
interim,81
schedule,81
difference,81
gonna,81
according,81
ap,81
workers,80
watching,80
chairman,80
chair,80
announces,80
create,80
save,80
finance,80
spread,79
remain,79
came,79
sitting,78
international,78
gone,78
proceedings,78
happens,78
sell,78
ward,78
continues,78
ago,78
fall,78
health,77
increase,77
consumer,77
definitely,77
actor,77
protests,76
lnp,76
turn,76
akp,76
justice,76
alone,75
municipal,75
serious,75
however,75
marriage,75
tory,75
pls,75
shame,75
wisely,75
request,75
situation,74
count,74
common,74
constitutional,74
castes,74
cost,74
imagine,74
single,74
sense,73
demands,73
door,73
calls,73
received,73
service,73
students,73
waste,72
despite,72
confidence,72
persons,72
sad,72
democratic,72
word,72
congratulations,72
western,72
welcome,72
note,71
north,71
campaigning,71
total,71
indians,71
channel,71
month,71
causes,71
impact,71
view,71
ruling,70
attack,70
area,70
theres,70
outside,70
spent,70
information,70
listen,70
send,70
position,70
especially,70
planning,70
officials,70
fighting,70
sent,70
th…,70
root,69
religion,69
papers,69
facts,69
ram,69
let’s,69
strategy,69
evm,69
later,69
forces,69
woman,68
stage,68
pakistan,68
example,68
eu,68
main,68
policies,67
ads,67
words,67
return,67
ones,67
yrs,67
respect,67
panel,67
mayawati,67
medical,67
population,67
worst,66
release,66
application,66
iec,66
exercise,66
coalition,66
round,66
several,66
course,66
claims,66
released,66
calling,66
conference,66
section,65
tells,65
four,65
wednesday,65
funds,65
rest,65
supporters,65
fear,65
joke,65
interest,65
trs,65
photo,65
constituencies,65
reasons,64
complete,64
rao,64
families,64
tamil,64
thread,64
commissioner,64
rather,64
white,64
easy,64
scheme,64
cape,63
regarding,63
asking,63
child,63
writes,63
seeks,63
corpers,63
weeks,63
cong,63
price,63
corner,63
tn,63
safety,62
samajwadi,62
learn,62
technology,62
cut,62
higher,62
freedom,62
institutions,62
movement,62
short,62
management,62
quality,62
regional,62
period,62
friday,62
guess,61
progress,61
travel,61
rules,61
side,61
minutes,61
company,61
houses,61
hes,61
names,61
can’t,61
currently,61
deserve,61
rafale,61
led,61
moment,61
welfare,61
collect,60
playing,60
percent,60
sign,60
hell,60
roll,60
tuesday,60
joining,60
uk,60
allowed,60
conduct,60
ministers,60
amidst,59
passing,59
guy,59
european,59
app,59
safe,59
officer,59
largest,59
protect,59
event,59
exactly,58
cc,58
heart,58
crucial,58
whatever,58
rate,58
sumitra,58
awareness,58
staff,58
wife,58
proud,58
needed,58
death,58
schools,58
rajya,58
completely,58
die,58
supporting,58
earlier,57
hate,57
transgender,57
elect,57
advertising,57
lower,57
late,57
holding,57
remains,57
alliances,57
food,57
historic,57
influence,57
mahajan,57
nadu,56
yadav,56
sunday,56
consider,56
na,56
private,56
services,56
clearly,56
self,56
interested,56
aap,56
tonight,56
officially,56
line,56
gives,56
nice,55
hand,55
town,55
seeking,55
chp,55
promised,55
united,55
red,55
uproar,55
motion,55
aware,55
recent,55
indeed,55
showing,54
won’t,54
farm,54
rise,54
paying,54
steps,54
ke,54
sc,54
presidents,54
kids,54
info,54
shall,54
options,54
hindu,54
son,54
changes,54
supreme,54
se,54
rural,54
integrity,53
air,53
wedding,53
cleared,53
raise,53
response,53
deliver,53
half,53
works,53
kcr,53
thinking,53
of…,53
middle,53
test,52
illegal,52
sector,52
drama,52
leads,52
loans,52
trend,52
favour,52
hit,52
alp,52
reach,52
tmc,52
promise,52
evms,51
involved,51
countries,51
israel,51
kamal,51
met,51
industry,51
reporters,51
daily,51
vision,51
challenge,51
citizen,51
option,51
launched,51
wake,51
