W1,W2,F
pm,modi,487
prime,minister,391
narendra,modi,319
namo,app,304
modi,ji,290
via,namo,271
pm,ji,201
modi,govt,178
modi,government,169
middle,class,143
shri,ji,126
hon,pm,111
amit,shah,110
lok,elections,106
ji,ji,100
shiv,sena,98
last,years,97
tamil,nadu,95
new,year,92
jai,hind,87
really,really,87
pm,narendra,86
people,india,85
vote,modi,81
high,sir,81
pm,shri,80
first,time,70
lok,polls,67
contest,seats,67
new,india,66
work,done,66
general,category,63
pm,modis,62
live,updates,59
general,elections,55
india,needs,54
supreme,court,54
economically,weaker,54
modi,modi,53
rs,crore,53
win,seats,53
thank,ji,52
upper,castes,52
make,sure,52
vs,vs,52
opposition,parties,52
general,election,50
pm,india,49
triple,talaq,48
also,want,48
get,seats,46
social,media,46
happy,new,46
reservation,economically,45
common,man,45
people,vote,44
political,parties,44
minister,narendra,44
let,us,43
upcoming,elections,43
well,said,43
modi,pm,42
piyush,goyal,42
chief,minister,42
good,work,41
historic,day,41
rakesh,jhunjhunwala,41
ahead,polls,41
must,watch,41
uttar,pradesh,41
congratulations,pm,40
sh,ji,40
would,like,39
win,elections,39
modi,jee,39
reject,nota,38
dont,want,38
make,india,38
next,years,38
shri,narendra,37
josh,high,37
transformation,hon,36
one,man,36
watch,live,36
ji,pm,36
months,transformation,36
pledge,support,36
people,want,36
president,amit,35
ls,polls,35
india,great,35
union,minister,35
jee,matter,34
says,pm,34
uddhav,thackeray,34
minister,shri,34
lok,seats,34
seats,seats,34
modi,sarkar,34
india,modi,34
great,leader,34
ram,mandir,33
rs,lakh,33
mr,modi,33
hows,josh,33
want,see,32
madhya,pradesh,32
transformation.our,hon,32
modi,"jee🙏🇮🇳💪😇""for",32
"jee🙏🇮🇳💪😇""for",matter,32
muslim,women,31
dont,know,31
government,led,31
lok,election,31
surgical,strike,31
upper,caste,31
central,government,31
every,indian,31
state,elections,31
come,together,30
history,india,30
seat,sharing,30
fight,seats,30
developing,india,30
vote,share,29
sir,sir,29
looks,like,29
grand,alliance,29
jai,ho,29
five,years,29
well,done,29
retain,power,28
modi,wave,28
motion,thanks,28
economically,weak,28
good,governance,27
game,changer,27
minister,india,27
finance,minister,27
good,news,27
ace,investor,27
pm,via,26
work,hard,26
track,live,26
ahead,lok,26
high,time,26
hard,work,26
pradhan,mantri,26
vote,pm,26
reply,motion,25
come,power,25
voters,reject,25
leadership,pm,25
modi,vs,25
people,country,25
weaker,sections,25
constitution,amendment,25
watch,video,25
spread,word,25
women,empowerment,25
tax,payers,24
second,term,24
worth,rs,24
past,years,24
indian,economy,24
fake,news,24
modi,via,24
lok,passes,24
ls,seats,24
indian,railways,24
thanks,ji,24
ind,voters,24
win,election,24
projects,worth,23
arun,jaitley,23
manifesto,committee,23
leader,history,23
vote,ji,23
working,hard,23
poll,campaign,23
philip,kotler,23
ahead,elections,23
long,time,23
citizenship,amendment,22
pm,like,22
lakh,crore,22
great,going,22
word,supporters,22
per,cent,22
god,india,22
loan,waiver,22
thank,sir,22
chor,whatever,22
political,party,22
press,conference,22
vote,chor,22
ppl,vote,22
supporters,ppl,22
call,us,22
plz,spread,22
also,plz,22
people,like,22
modi,god,22
leader,like,22
happening,west,22
west,repeated,21
want,country,21
minister,said,21
pm,modi’s,21
investor,rakesh,21
man,developing,21
modi,prime,21
fastest,growing,21
years,modi,21
repeated,india,21
pm,candidate,21
income,tax,21
corrupt,ahind,21
full,majority,21
live,pm,21
nitin,gadkari,21
common,people,21
want,work,21
want,stay,21
take,care,21
whatever,happening,21
indian,politics,20
aiadmk,alliance,20
sir,read,20
citizens,india,20
ram,temple,20
support,ji,20
party,workers,20
dont,worry,20
coming,together,20
across,country,20
great,work,20
contest,lok,19
quota,economically,19
want,pm,19
thank,much,19
election,modi,19
congratulations,ji,19
rs,cr,19
sena,alliance,19
announce,alliance,19
many,seats,19
presidential,award,19
promises,made,19
dont,need,19
survey,namo,19
alliance,aiadmk,19
make,mistake,18
vote,thank,18
ke,liye,18
last,time,18
vote,wisely,18
lets,make,18
election,campaign,18
nota,defeat,18
last,yrs,18
photo,ians,18
election,results,18
growth,rate,18
day,india,18
high,sir💪🏽,18
never,seen,18
sections,society,18
join,hands,18
sleepless,nights,18
one,reason,18
reason,vote,18
one,thing,18
kotler,presidential,18
wait,watch,18
jan,passed,18
seats,ljp,18
sir💪🏽,high,17
home,minister,17
presidents,address,17
announces,alliance,17
weaker,section,17
polls,says,17
via,mynt,17
defence,minister,17
support,modi,17
eagerly,waiting,17
plz,note,17
note,people,17
corruptionfree,fraudfree,17
vote,this👇,17
amendment,constitution,17
vijay,mallya,17
fraudfree,vote,17
get,rid,17
country,scamfree,17
scamfree,corruptionfree,17
last,year,17
want,vote,17
coming,elections,17
highest,growth,17
election,manifesto,17
report,card,17
lets,see,17
ji,india,17
ji,prime,17
approves,economically,17
india,pm,16
heartiest,congratulations,16
janata,party,16
modi,win,16
maharashtra,cm,16
must,read,16
opinion,poll,16
poll,results,16
rafale,deal,16
new,delhi,16
nation,needs,16
historic,step,16
ji,done,16
national,president,16
choose,wisely,16
alliance,talks,16
want,modi,16
yet,another,16
pm,sir,16
upcoming,polls,16
nda,government,16
alliance,upcoming,16
nadu,puducherry,16
support,pm,16
times,india,16
ruling,party,16
join,us,16
completed,survey,16
great,news,16
jay,ho,16
alliance,tamil,16
go,vote,16
form,govt,16
lowest,inflation,16
proud,pm,15
india,india,15
constitutional,amendment,15
minister,modi,15
upper,class,15
year,resolution,15
vote,vote,15
work,people,15
opposition,alliance,15
har,har,15
want,win,15
make,happen,15
know,pm,15
rs,per,15
led,government,15
narendra,modis,15
next,pm,15
nota,corrupt,15
get,well,15
national,convention,15
say,modi,15
see,pm,15
last,months,15
corruption,free,15
india,forever,15
day,day,15
national,council,15
ayes,noes,15
day,decisively,15
decisively,pass,15
say,dont,15
national,security,15
seats,upcoming,15
work,make,15
ji,team,15
nda,govt,15
may,get,15
mega,alliance,15
thanks,presidents,15
dont,think,15
next,election,14
coming,election,14
transforming,india,14
dear,sir,14
constitution,passed,14
year,india,14
think,modi,14
per,year,14
next,months,14
passed,passes,14
ha,ha,14
get,ready,14
india,amendment,14
passes,ayes,14
india,vote,14
live,ndtv,14
modi,said,14
modi,shah,14
meenakshi,lekhi,14
historic,descision,14
approved,union,14
need,modi,14
ever,seen,14
upcoming,election,14
well,soon,14
modi,govts,14
development,modi,14
modi,done,14
dear,ji,14
receives,major,14
pass,congratulating,14
vision,india,14
congratulating,government,14
time,work,14
pm,said,14
leaders,like,14
dont,say,14
loud,clear,14
first,look,14
heres,ace,14
reservation,general,14
want,india,14
winning,seats,14
samajwadi,party,14
ji,please,14
pm,reply,14
opposition,leaders,14
economicaly,upper,14
culture,always,13
always,gives,13
odia,culture,13
se,ke,13
whole,nation,13
dear,pm,13
great,odia,13
passes,constitution,13
like,se,13
tight,slap,13
taken,modi,13
contest,elections,13
read,tweet,13
antihindu,corrupt,13
please,dont,13
hard,coming,13
coming,working,13
dont,vote,13
around,corner,13
win,lok,13
sena,announce,13
seats,tamil,13
parties,antihindu,13
feel,central,13
devendra,fadnavis,13
mann,ki,13
descision,modi,13
great,initiative,13
modi,says,13
stay,make,13
hand,also,13
us,hand,13
party,leaders,13
needs,modi,13
empowerment,shri,13
importance,women,13
topmost,importance,13
indian,army,13
strong,gvt,13
inclusive,progress,13
progress,reject,13
delhi,cm,13
congi,commie,13
commie,sp,13
sp,jds,13
jds,ncp,13
four,years,13
gives,topmost,13
state,president,13
via,read,13
last,four,13
make,pm,13
ls,elections,13
said,pm,13
pm,post,13
andhra,pradesh,13
five,states,13
man,army,13
speedy,recovery,13
please,vote,13
government,likely,12
modi,clean,12
modi,like,12
led,prime,12
dont,forget,12
dirt,india,12
jd(u,contest,12
much,needed,12
clean,dirt,12
like,modi,12
defeat,congi,12
read,thread,12
ji,nominate,12
elections,together,12
rajnath,singh,12
matters,national,12
nation,first,12
master,stroke,12
tweet,call,12
well,researched,12
power,things,12
give,us,12
class,india,12
leader,opposition,12
jhunjhunwala,narendra,12
