W1,W2,F
detailed,election,397
click,detailed,389
election,trends,374
leads+results,analysis,338
election,leads+results,338
pm,click,255
trends,pm,255
adjourned,till,214
political,parties,213
lok,elections,213
election,results,178
general,elections,160
live,updates,160
social,media,157
chief,minister,133
political,party,129
election,commission,120
trends,click,119
adjourned,day,119
contest,seats,119
polling,unit,115
madhya,pradesh,115
terrain,politics,114
new,old,114
fears,new,114
new,terrain,114
politics,changing,114
thoughtfactory,new,113
old,fears,113
watch,live,108
triple,talaq,106
muslim,women,104
prime,minister,104
constitution,amendment,101
general,election,94
lok,passes,94
general,category,92
opposition,parties,89
protection,rights,86
upcoming,elections,84
union,minister,83
till,pm,83
uttar,pradesh,83
economically,weaker,82
election,day,81
first,time,77
lok,polls,76
till,noon,75
make,sure,74
reservation,economically,72
huge,mess,71
next,week,70
fake,news,69
mess,caused,69
call,us,69
voting,stations,68
new,year,65
root,causes,65
want,make,64
laws,amendment,63
voter,registration,62
register,vote,62
track,live,62
would,like,62
looks,like,61
seat,sharing,61
also,want,60
amendment,passed,60
let,us,59
want,work,59
rights,marriage,59
upper,castes,59
samajwadi,party,58
results,analysis,58
join,us,57
sumitra,mahajan,56
women,protection,55
tamil,nadu,55
election,campaign,54
first,term,54
consumer,protection,54
address,root,54
term,office,53
new,delhi,53
contest,upcoming,53
passed,lok,52
presidential,election,52
free,fair,52
analysis,latest,51
citizenship,amendment,51
passes,constitution,51
cast,vote,51
upcoming,lok,50
registered,vote,50
live,analysis,50
latest,election,50
contest,elections,50
caused,first,50
lok,election,49
quota,economically,49
dont,want,49
finance,minister,48
win,seats,47
dont,know,47
vote,wisely,47
constitutional,amendment,46
speaker,sumitra,46
read,tweet,46
defence,minister,46
inec,chairman,45
per,cent,45
coming,make,45
sp,contest,44
contest,lok,44
election,postponed,43
election,year,43
tell,us,42
go,vote,42
vote,vote,41
people,vote,41
make,you.the,41
media,coverage,40
independent,candidate,40
first,week,40
omoyele,sowore,39
surrogacy,regulation,39
coming,time,39
give,us,39
lok,adjourned,39
take,place,39
electoral,commission,39
winter,session,38
contest,polls,38
commission,india,38
sahara,reporters,38
last,years,38
follow,live,38
samaj,party,38
young,people,37
home,minister,37
provide,reservation,37
middle,class,37
mps,suspended,37
registration,weekend,37
stations,open,36
press,conference,36
election,commissioner,36
need,know,35
ruchir,sharma,35
loan,waiver,35
coverage,update,35
companies,amendment,35
postpone,election,35
technology,use,35
presidential,candidate,35
western,cape,35
opinion,poll,35
ahead,lok,34
andhra,pradesh,34
rs,crore,34
full,transcript,34
four,years,34
farm,loan,34
upper,caste,34
upcoming,polls,34
election,date,33
lok,seats,33
dna,technology,33
us,also,33
dont,vote,33
transgender,persons,33
arun,jaitley,33
weaker,section,33
coming,closer,32
you.the,year,32
voter,id,32
next,year,32
top,top,32
use,application,32
week,march,32
one,thing,31
dont,think,31
looking,forward,31
lets,see,31
closer,want,31
question,hour,31
get,rid,31
sir,adding,31
adding,hands,31
hands,call,31
around,corner,31
good,news,30
final,january,30
local,elections,30
lets,get,30
ahead,elections,30
chief,election,30
right,vote,30
ruling,party,30
jeremys,knesset,29
stay,tuned,29
date,headline,29
supreme,court,29
another,example,29
every,vote,29
delhi,international,29
right,time,29
live,ndtv,29
amendment,provide,29
knesset,insider,29
law,minister,29
state,elections,29
personal,laws,29
amendment,introduced,29
application,regulation,28
weaker,sections,28
indian,medical,28
international,centre,28
registered,voters,28
open,days,28
political,leaders,28
years,prepare,28
inec,postponed,28
medical,council,28
postponed,election,28
today,introduced,28
five,years,27
ahead,polls,27
upcoming,election,27
good,people,27
cast,votes,27
persons,protection,27
national,elections,27
akhilesh,yadav,27
aiadmk,mps,27
must,go,27
want,see,27
us,visit,27
people,india,27
paper,planes,27
win,election,27
make,difference,27
us,vote,27
shining,india,26
india,survey,26
next,years,26
ls,polls,26
long,time,26
sharing,glimpses,26
chief,electoral,26
year,coming,26
exclusive,interview,26
cant,wait,26
historic,day,26
election,coverage,26
good,morning,26
sunil,arora,26
get,right,26
like,see,26
going,vote,26
regional,parties,26
chandrashekar,rao,26
vote,party,25
years,ago,25
must,vote,25
ahead,general,25
dot,news,25
election,season,25
january,sa’s,25
sa’s,voting,25
dont,forget,25
yesh,atid,25
educational,institutions,25
win,elections,25
next,months,25
glimpses,shining,24
election,inec,24
local,government,24
rs,lakh,24
you.i,also,24
across,country,24
iyi,party,24
vote,right,24
time,show,24
child,sex,24
tweet,call,24
new,political,24
asaduddin,owaisi,24
days,go,24
news,link,24
presidential,elections,24
elections,held,24
strengthen,party,24
today,passed,23
photo,ians,23
postponed,elections,23
track,updates,23
get,ready,23
theresa,may,23
general,secretary,23
days,registration,23
sex,offending,23
pray,read,23
updating,addresses,23
ls,seats,23
update,date,23
speaker,suspends,23
likely,announce,23
time,address,23
last,time,23
coming,elections,23
people,like,23
pray,pray,23
opposition,leaders,23
results,madhya,23
poll,says,23
sir,pray,23
door,door,23
party,chief,23
please,vote,23
contest,election,23
counting,votes,22
lakh,crore,22
ram,temple,22
last,day,22
aimim,chief,22
talaq,passed,22
registration,updating,22
us,you.i,22
near,want,22
chief,mayawati,22
section,society,22
