W1,W2,W3,F
via,namo,app,270
pm,narendra,modi,83
really,really,really,79
hon,pm,modi,69
pm,ji,ji,46
happy,new,year,44
prime,minister,narendra,44
vs,vs,vs,43
pm,shri,ji,40
minister,narendra,modi,38
pm,modi,jee,36
months,transformation,hon,36
transformation,hon,pm,36
president,amit,shah,35
shri,narendra,modi,34
modi,jee,matter,34
pm,modi,"jee🙏🇮🇳💪😇""for",32
modi,"jee🙏🇮🇳💪😇""for",matter,32
transformation.our,hon,pm,32
prime,minister,shri,29
josh,high,sir,28
prime,minister,india,26
voters,reject,nota,25
ind,voters,reject,24
minister,shri,ji,24
track,live,updates,24
pm,via,namo,23
also,plz,spread,22
plz,spread,word,22
congratulations,pm,ji,22
great,leader,history,22
spread,word,supporters,22
word,supporters,ppl,22
leader,history,india,22
projects,worth,rs,22
ppl,vote,chor,22
vote,chor,whatever,22
supporters,ppl,vote,22
modi,via,namo,21
also,want,stay,21
whatever,happening,west,21
happening,west,repeated,21
chor,whatever,happening,21
also,want,work,21
modi,god,india,21
reservation,economically,weaker,21
modi,prime,minister,21
investor,rakesh,jhunjhunwala,21
west,repeated,india,21
india,great,leader,20
man,developing,india,20
economically,weaker,sections,20
modi,modi,modi,19
ace,investor,rakesh,19
god,india,great,19
reply,motion,thanks,19
survey,namo,app,19
ji,ji,ji,19
reject,nota,defeat,18
worth,rs,crore,18
philip,kotler,presidential,18
pm,modi,ji,18
kotler,presidential,award,18
central,government,led,17
fraudfree,vote,thank,17
corruptionfree,fraudfree,vote,17
sir💪🏽,high,sir💪🏽,17
historic,day,india,17
pm,modi,via,17
plz,note,people,17
note,people,vote,17
people,vote,this👇,17
ji,prime,minister,17
scamfree,corruptionfree,fraudfree,17
want,country,scamfree,17
high,sir💪🏽,high,17
country,scamfree,corruptionfree,17
ahead,lok,elections,16
tamil,nadu,puducherry,16
economically,weaker,section,16
completed,survey,namo,16
narendra,modi,prime,16
historic,day,decisively,15
thanks,presidents,address,15
reject,nota,corrupt,15
day,decisively,pass,15
nota,corrupt,ahind,15
good,work,done,15
motion,thanks,presidents,15
heres,ace,investor,14
decisively,pass,congratulating,14
get,well,soon,14
congratulating,government,led,14
pass,congratulating,government,14
day,india,amendment,14
constitution,passed,passes,14
india,amendment,constitution,14
amendment,constitution,passed,14
alliance,tamil,nadu,14
passed,passes,ayes,14
always,gives,topmost,13
reservation,general,category,13
contest,seats,ljp,13
women,empowerment,shri,13
importance,women,empowerment,13
topmost,importance,women,13
gives,topmost,importance,13
great,odia,culture,13
odia,culture,always,13
empowerment,shri,narendra,13
new,year,resolution,13
developing,india,modi,13
narendra,modi,ji,13
says,pm,modi,13
one,man,army,13
culture,always,gives,13
india,modi,god,13
sp,jds,ncp,13
like,se,ke,13
pm,reply,motion,13
inclusive,progress,reject,13
progress,reject,nota,13
congi,commie,sp,13
commie,sp,jds,13
want,stay,make,13
hand,also,want,13
us,hand,also,13
parties,antihindu,corrupt,13
call,us,hand,13
hard,coming,working,13
work,hard,coming,13
coming,working,hard,13
want,work,hard,13
would,like,se,13
historic,descision,modi,13
feel,central,government,13
pledge,support,ji,13
seats,seats,seats,13
jd(u,contest,seats,12
say,dont,say,12
economically,weaker,upper,12
dont,say,dont,12
india,modi,ji,12
clean,dirt,india,12
modi,clean,dirt,12
descision,modi,govt💪,12
se,ke,liye,12
read,tweet,call,12
class,approved,union,12
tweet,call,us,12
defeat,congi,commie,12
upper,class,approved,12
govt💪,economicaly,upper,12
nota,defeat,congi,12
modi,govt💪,economicaly,12
tourism,receives,major,12
economicaly,upper,class,12
would,nosedive’,chairman,12
government,led,prime,12
rakesh,jhunjhunwala,narendra,12
middle,class,india,12
retain,power,things,12
power,things,would,12
things,would,nosedive’,12
time,work,make,12
race,time,work,12
approaching,race,time,12
passes,constitution,amendment,12
nosedive’,chairman,election,12
major,modi,government,12
pm,shri,narendra,11
ke,liye,visit,11
transforming,india,forever,11
ruling,unlikely,polls,11
passes,ayes,noes,11
unlikely,polls,screams,11
polls,screams,turns,11
ji,nominate,friends,11
elections?any,alternative,ordinance,11
next,prime,minister,11
support,ji,nominate,11
seats,tamil,nadu,11
vote,modi,ji,11
prevent,mocked,opposition,11
jai,hind,jai,11
screams,turns,true,11
mandir,elections?any,alternative,11
turns,true,happens,11
sc,ruling,unlikely,11
raising,mandir,elections?any,11
opposition,raising,mandir,11
happens,aspirations,prevent,11
aspirations,prevent,mocked,11
mocked,opposition,raising,11
true,happens,aspirations,11
deferred,sc,ruling,11
hearing,deferred,sc,11
articles,matters,national,11
fast,paced,development,11
taken,modi,government,11
make,also,want,11
stay,make,also,11
paced,development,modi,11
modi,ji,india,11
liye,visit,well,11
watch,live,pm,11
matters,national,importance,11
sir,read,tweet,11
jhunjhunwala,narendra,modi,11
researched,articles,matters,11
visit,well,researched,11
well,researched,articles,11
mode,score,nda,10
namo,wall,painting,10
ji,india,synonymous,10
ji,actually,praise,10
step,taken,modi,10
yes,campaign,mode,10
hon,pm,ji,10
modi,government,citizens,10
government,citizens,india,10
development,modi,govt’s,10
campaign,mode,score,10
modi,govt’s,transforming,10
govt’s,transforming,india,10
receives,major,modi,10
hows,josh,high,10
working,hard,strengthening,10
prime,minister,modi,10
highest,growth,lowest,10
growth,lowest,inflation,10
score,nda,save,10
firstever,philip,kotler,10
actually,praise,india,10
praise,india,modi,10
ji,eagerly,waiting,10
weaker,upper,castes,10
history,independent,india,10
work,make,hindus,10
critical,sh,ji,10
sh,ji,yet,10
ji,yet,campaign,10
decide,something,go,10
something,go,miles,10
go,miles,ahead,10
must,watch,interview,10
news,times,india,10
election,modi,vs,10
chairman,election,modi,10
aiadmk,tamil,nadu,10
sir,sir,sir,10
speedy,recovery,sir,9
seats,uttar,pradesh,9
alliance,mega,winning,9
shiv,sena,announce,9
go,long,way,9
deputy,cm,panneerselvam,9
watch,live,ndtv,9
economically,weak,upper,9
weak,upper,castes,9
modi,ji,actually,9
app,journey,transform,9
announce,alliance,lok,9
journey,transform,india,9
transform,india,click,9
congratulations,hon,pm,9
praying,speedy,recovery,9
pm,ji,eagerly,9
first,time,voters,9
india,news,times,9
yet,campaign,since,9
vote,this👇,via,9
this👇,via,mynt,9
har,har,modi,9
contest,lok,seats,9
narendra,modi,government,9
rs,lakh,crore,9
vote,thank,ji,9
government,likely,outcome,9
chief,uddhav,thackeray,9
passed,jan,passed,9
jan,passed,jan,9
approves,jan,passed,9
jan,approves,jan,9
download,toi,app,9
lok,polls,says,9
honest,tax,payers,9
vote,appeal,lok,9
delhi,cm,issues,9
prime,minister,said,9
appeal,lok,polls,9
hon,pm,shri,9
passing,triple,talaq,9
shri,ji,passes,9
cm,issues,vote,9
issues,vote,appeal,9
alliance,uttar,pradesh,9
led,prime,minister,8
want,stay,people,8
ahead,general,elections,8
two,options,elections,8
want,work,people,8
pledged,millions,appease,8
last,four,years,8
jai,modi,ji,8
us,also,want,8
recovery,sir,yes,8
jai,ho,jai,8
polls,says,aap,8
dynamic,leadership,pm,8
sir,yes,lot,8
says,aap,defeat,8
yes,lot,work,8
lot,work,done,8
letting,facts,speak,8
committee,prepare,manifesto,8
stay,people,make,8
prepare,manifesto,upcoming,8
committee,arun,jaitley,8
head,manifesto,committee,8
manifesto,committee,arun,8
economically,weak,general,8
corruption,free,governance,8
people,want,good,8
sections,general,category,8
government,led,leadership,8
led,leadership,pm,8
fulfilled,essential,needs,8
fastest,growing,economy,8
ensuring,equality,dignity,8
understand,feelings,request,8
pradhan,mantri,awas,8
minister,piyush,goyal,8
feelings,request,sir.i,8
request,sir.i,also,8
sir.i,also,want,8
vote,narendra,modi,8
shiv,sena,alliance,8
life,pm,ji,8
movie,life,pm,8
upcoming,movie,life,8
look,upcoming,movie,8
first,look,upcoming,8
ruling,pledged,millions,8
ji,taking,historic,8
india’s,ruling,pledged,8
options,elections,choose,8
students,employees,professionals,8
millions,appease,hindus,8
live,updates,campaigns,8
join,namo,app,8
namo,app,journey,8
sir,read,tweets,8
nda,save,tweet,8
tweets,call,us,8
read,tweets,call,8
approves,economically,weaker,8
seats,shiv,sena,8
upper,castes,government,8
economically,upper,castes,8
show,power💪,else,8
aggressively,show,power💪,8
campaign,aggressively,show,8
day,campaign,aggressively,8
weaker,section,general,8
take,day,campaign,8
rss,take,day,8
section,general,category,8
make,india,great,8
doctors,rss,take,8
traders,doctors,rss,8
seats,fight,seats,8
professionals,traders,doctors,8
ji,pm,ji,8
hard,strengthening,party,8
employees,professionals,traders,8
vote,pm,modi,8
ayes,noes,congratulations,8
alliance,shiv,sena,8
mega,winning,alliance,8
join,us,also,8
call,us,join,8
appease,hindus,religious,8
save,tweet,dont,8
approves,economically,weak,8
tweet,dont,edit,8
religious,festival,enough,8
us,join,us,8
hindus,religious,festival,8
