W1,W2,W3,F
detailed,version,please,46
version,please,log,46
epaper,detailed,version,46
track,live,updates,18
reason,however,great,14
controlled,polity,touched,14
family,controlled,polity,14
politicians,family,controlled,14
mighty,politicians,family,14
high,mighty,politicians,14
committed,high,mighty,14
crimes,committed,high,14
great,crimes,committed,14
however,great,crimes,14
simple,reason,however,14
accidental,prime,minister,10
say,good,voted,9
govt(now,uri,review,9
uri,review,people,9
review,people,say,9
people,say,good,9
good,voted,high,9
votes👍,congress,govt,9
ahead,predicted,get,9
predicted,get,lok,9
get,lok,seats,9
figure,votes👍,congress,9
high,figure,votes👍,9
voted,high,figure,9
seats,uttar,pradesh,8
voters,reject,nota,8
indian,voters,reject,7
antinational,gali,gali,7
reject,nota,defeat,7
nota,defeat,ahind,7
defeat,ahind,antinational,7
ahind,antinational,gali,7
gali,shor,hai,7
gali,gali,shor,7
madhya,pradesh,congress,7
rahul,gandhi,congress,6
leaves,jittery,cold,6
deal,leaves,jittery,6
seatsharing,deal,leaves,6
polls,seatsharing,deal,6
two,sides,coin,6
seats,madhya,pradesh,6
pradesh,seesaw,congress,5
contest,lok,seats,5
ahead,polls,congress,5
congress,contest,lok,5
short,hindu,unity,5
modi,vs,rahul,5
states,rajasthan,chhattisgarh,5
votes,low,count,5
hindu,unity,hindus,5
unity,hindus,know,5
low,count,votes👎,5
review,less,people,5
like,votes,low,5
people,like,votes,5
less,people,like,5
know,christo,islamic,5
minister,review,less,5
prime,minister,review,5
govt,accidental,prime,5
congress,govt,accidental,5
election,results,analysis,5
seats,total,vote,5
hindus,know,christo,5
going,vote,congress,5
christo,islamic,going,5
islamic,going,vote,5
polls,congress,makes,5
congress,makes,army,5
makes,army,fount,5
empowerment”,prove,congress,5
mean,empowerment”,prove,5
passed,mean,empowerment”,5
govt,passed,mean,5
modi,govt,passed,5
choice,surging,economy,5
surging,economy,thanks,5
economy,thanks,emperor,5
seats,seats,seats,5
army,fount,national,5
fount,national,security,5
wins,thumping,majority,5
sure,wins,thumping,5
make,sure,wins,5
unite,make,sure,5
congress,unite,make,5
vote,congress,unite,5
watch,live,ndtv,5
detailed,election,results,5
move,ahead,polls,5
madhya,pradesh,seesaw,5
perilous,post,poll,5
parivar’s,perilous,post,5
support,congress,madhya,5
madhya,pradesh,chief,5
post,poll,position,5
lok,elections,says,5
majority,madhya,pradesh,4
impact,elections,narayan,4
states,misses,majority,4
locked,tough,fight,4
misses,majority,madhya,4
congress,rahul,gandhi,4
govt,murders,persons,4
indian,national,congress,4
prove,congress,who…,4
leading,two,states,4
sachin,adarsh,shukla,4
shares,seats,gain,4
prime,minister,narendra,4
verdict,impact,elections,4
lessons,state,polls’,4
polls’,verdict,impact,4
murders,persons,disgusting,4
congress,opposition,parties,4
former,union,minister,4
thanks,emperor,re…,4
lok,seats,congress,4
states,hindi,heartland,4
continue,remain,equidistant,4
dmk,join,forces,4
state,polls’,verdict,4
congress,track,live,4
join,forces,day,4
heartland,states,misses,4
forces,day,allies,4
challenges,lessons,state,4
fourth,time,row,4
agree,shares,seats,4
congress’,manvendra,singh,4
defeats,congress’,manvendra,4
feel,loose,security,4
day,allies,aiadmk,4
allies,aiadmk,read,4
congress,madhya,pradesh,4
persons,disgusting,attacks,4
disgusting,attacks,like,4
happening,since,congress,4
since,congress,formed,4
loss,congress,gained,4
congress,gained,state,4
gained,state,elections,4
state,elections,impact,4
congress,formed,govt,4
formed,govt,murders,4
experts,feel,loose,4
congress,shiv,sena,4
congress,dmk,join,4
seats,track,live,4
security,deposits,seats,4
across,country,party,4
deposits,seats,congress,4
country,party,leading,4
seats,congress,sinking,4
party,leading,two,4
congress,sinking,party,4
loose,security,deposits,4
pundits,agree,shares,4
sinking,party,considered,4
party,considered,pundits,4
pradesh,chief,minister,4
considered,pundits,agree,4
ensure,come,power,3
elections,ensure,come,3
fought,elections,ensure,3
pledge,onetime,farm,3
remain,equidistant,congress,3
said,hacked,dream,3
still,wonder,one,3
wonder,one,said,3
leads,results,show,3
vote,congress,means,3
aiadmk,pmk,alliance,3
one,said,hacked,3
congress,contest,seats,3
see,heat,map,3
pm,congress,wins,3
attacks,like,one,3
leader,su,thirunavukkarasar,3
su,thirunavukkarasar,addresses,3
thirunavukkarasar,addresses,media,3
addresses,media,delhi,3
heat,map,state,3
fight,see,heat,3
come,power,decided,3
focus,nots”,woo,3
seats,congress,seats,3
cm,naveen,patnaik,3
odisha,cm,naveen,3
mp,raj,cg,3
nots”,woo,voters,3
power,decided,support,3
write,focus,nots”,3
tough,fight,see,3
loan,write,focus,3
farm,loan,write,3
onetime,farm,loan,3
decided,support,congress,3
chief,minister,leads,3
congress,locked,tough,3
congress,gandhi,family,3
poll,slap,face,3
live,updates,watch,3
inside,counting,centre,3
towards,loss,loss,3
point,towards,loss,3
trend,point,towards,3
surveys,trend,point,3
vs,rahul,rahul,3
rahul,rahul,vs,3
rahul,vs,modi/shah/,3
vs,modi/shah/,media/fake,3
own.if,congress,opposition,3
government,own.if,congress,3
form,government,own.if,3
clear,form,government,3
thing,clear,form,3
one,thing,clear,3
surveys,one,thing,3
today’s,surveys,one,3
four,seats,track,3
seats,four,seats,3
secure,seats,four,3
managed,secure,seats,3
congress,managed,secure,3
seats,congress,managed,3
pradesh,seats,congress,3
madhya,pradesh,seats,3
centre,madhya,pradesh,3
loss,loss,gains,3
minister,anticongress,propaganda,3
prime,minister,anticongress,3
smelling,stinking,india,3
says,rjd,leader,3
alliance,says,rjd,3
lead,alliance,says,3
equipped,lead,alliance,3
congress,equipped,lead,3
pounces,jpc,rafale,3
sena,pounces,jpc,3
shiv,sena,pounces,3
congress,era,yuva,3
india,congress,era,3
stinking,india,congress,3
polluted,smelling,stinking,3
one,thing,sure,3
corrupt,polluted,smelling,3
ahead,lok,elections,3
congress,ahead,lok,3
join,congress,ahead,3
quit,join,congress,3
gandhi,quit,join,3
varun,gandhi,quit,3
dirty,corrupt,polluted,3
missing,dirty,corrupt,3
evms,sensing,defeat,3
congress,president,rahul,3
