W1,W2,W3,F
vote,congress,vote,121
party,voice,strength,106
strength,vote,congress,106
voice,strength,vote,106
congress,party,voice,102
track,live,updates,60
president,rahul,gandhi,54
congress,president,rahul,52
deserve,future,peace,40
vote,voice,country,40
voice,country,needs,40
future,vote,congress,40
needs,voice,ever,40
voice,ever,deserve,40
ever,deserve,future,40
country,needs,voice,40
future,peace,unity,40
unity,constructiveness,progress,40
constructiveness,progress,freedom,40
progress,freedom,express,40
freedom,express,vote,40
express,vote,future,40
peace,unity,constructiveness,40
vote,future,vote,40
congress,general,secretary,31
election,rahul,gandhi,28
mata,ki,jai,27
priyanka,gandhi,vadra,26
chance,fight,election,24
give,chance,fight,24
fight,election,rahul,24
rahul,gautam,im,23
ji,mata,ki,23
im,himachal,pradesh,23
pranam,ji,mata,23
gautam,im,himachal,23
ki,jai,name,23
jai,name,rahul,23
himachal,pradesh,sir,23
pradesh,sir,please,23
sir,please,give,23
please,give,chance,23
name,rahul,gautam,23
aicc,general,secretary,22
watch,live,ndtv,21
coverage,live,ndtv,21
rahul,gandhi,ji,21
appointed,congress,general,21
general,secretary,east,19
jai,congress,party,19
follow,special,coverage,19
jai,rahul,gandhi,18
iyc,vote,voice,18
gandhi,sir,trust,17
rahul,gandhi,sir,17
via,namo,app,16
special,coverage,live,16
catch,action,follow,16
sir,trust,prove,16
parliament,today,reverts,15
uttar,pradesh,east,15
action,follow,special,15
duplicate,pandit,real,14
today,reverts,lies,14
pandit,rahul,gautam,14
follow,live,updates,14
congress,ad,dynasty,14
madhya,pradesh,congress,14
general,secretary,ahead,14
reverts,lies,even,13
jai,shiri,ram,13
gautam,jai,shiri,13
shiri,ram,ji,13
rahul,gautam,jai,13
live,updates,watch,13
real,pandit,rahul,13
pandit,real,pandit,13
insisting,parliament,today,13
today,decide,love,12
congress,party,jai,12
division,vote,congress,12
prove,duplicate,pandit,12
trust,prove,duplicate,12
nation,division,vote,12
one,nation,division,12
propoganda,one,nation,12
policies,propoganda,one,12
hate,pakoda,policies,12
love,hate,pakoda,12
decide,love,hate,12
pakoda,policies,propoganda,12
waive,farm,loans,12
rahul,gandhi,congress,12
minimum,income,guarantee,11
frustrated,exits,delaying,11
pradesh,chief,minister,11
rs,lakh,crore,11
lies,even,parliament,11
even,parliament,keep,11
chief,rahul,gandhi,11
parliament,keep,issue,11
keep,issue,alive.after,11
every,argument,frustrated,11
argument,frustrated,exits,11
exits,delaying,tactic,11
seats,tamil,nadu,11
polluted,smelling,stinking,11
delaying,tactic,achieve,11
general,secretary,uttar,11
secretary,uttar,pradesh,11
leader,diamond,leader,11
common,leader,diamond,11
leader,common,leader,11
defence,minister,nirmala,11
general,secretary,incharge,11
leader,leader,common,11
party,jai,rahul,11
rajasthan,chief,minister,11
entry,active,politics,11
main,question,anil,10
congress,president,main,10
indian,national,congress,10
president,main,question,10
question,anil,contract,10
appointed,general,secretary,10
seats,uttar,pradesh,10
prime,minister,india,10
issue,alive.after,demolishes,10
farm,loan,waiver,10
updates,watch,special,10
alive.after,demolishes,every,10
demolishes,every,argument,10
read,track,live,10
congress,era,yuva,9
madhya,pradesh,chief,9
minister,nirmala,sitharaman,9
congress,contest,seats,9
pm,ji,ji,9
prime,minister,narendra,9
watch,special,coverage,9
special,coverage,ndtv,9
play,audio,tape,9
takes,political,plunge,9
pm,narendra,modi,9
one,reason,vote,9
contract,one,decide,9
anil,contract,one,8
agar,ka,naam,8
says,defence,minister,8
senior,congress,leader,8
ashok,gehlot,sachin,8
track,updates,watch,8
prime,ministerial,candidate,8
woo,young,rural,8
world,knew,well,8
gehlot,sachin,pilot,8
rahul,gandhis,residence,8
congress,chief,rahul,8
deputy,chief,minister,8
appointed,aicc,general,8
campaigns,woo,young,8
contest,seats,uttar,8
updates,watch,live,8
modi,rahul,gandhi,8
holistic,development,jai,8
young,rural,voters,8
development,jai,congress,8
priyanka,gandhis,entry,8
congress,waive,farm,7
rahul,gandhi,pm,7
team,dedicated,welfare,7
congress,team,dedicated,7
rahul,gandhi,visit,7
early,trends,show,7
mahatma,gandhi,hai,7
ji,jai,congress,7
finalise,seat,sharing,7
catholic,christian,mother,7
dr,manmohan,singh,7
gandhis,residence,delhi,7
president,ahead,crucial,7
lok,elections,congress,7
former,union,minister,7
first,ignore,laugh,7
islands,jai,rahul,7
gandhi,ji,jai,7
short,term,memory,7
development,islands,jai,7
shedding,crocodile,tears,7
needs,detailed,study,7
polls,changed,man,7
naam,mahatma,gandhi,7
gandhi,party,workers,7
detailed,study,also,7
ka,naam,mahatma,7
important,needs,detailed,7
rahul,gandhi,party,7
country,fire,legitimised,6
mr,gandhi,launch,6
gujarat,mr,gandhi,6
dirty,corrupt,polluted,6
says,target,win,6
visit,gujarat,mr,6
grand,old,party,6
next,years,dont,6
contracts,worth,rs,6
chief,minister,vasundhara,6
years,dont,need,6
today,tried,produce,6
gandhi,launch,party’s,6
minister,every,says,6
launch,party’s,campaign,6
mahatma,gandhi,picked,6
speaker,sumitra,mahajan,6
rural,voters,polls,6
says,congress,leader,6
india,congress,committee,6
clean,foolish,short,6
congress,team,holistic,6
team,holistic,development,6
minister,narendra,modi,6
extras,next,years,6
many,extras,next,6
perks,many,extras,6
two,options,elections,6
says,clean,foolish,6
aam,aadmi,party,6
dont,need,votes,6
gandhi,picked,idea,6
news,split,rlsp,6
uti,scam,minister,6
secretary,incharge,east,6
triple,talaq,passed,6
rahul,gandhi,grows,6
gandhi,grows,wins,6
grows,wins,allies,6
rahul,gandhi,read,6
memory,like,syndrome,6
ji,hard,work,6
hard,work,dedication,6
wins,allies,ahead,6
hot,air,jargon,6
would,like,thank,6
amid,news,split,6
options,elections,choose,6
every,says,clean,6
lies,hot,air,6
rahul,gandhi,calls,6
missing,dirty,corrupt,6
scam,minister,every,6
votes,lies,hot,6
term,memory,like,6
gandhis,entry,politics,6
foolish,short,term,6
senior,congress,leaders,6
congress,office,raipur,6
triumph,rahul,gandhi,6
need,votes,lies,6
adjourned,till,pm,6
mr,rahul,gandhi,6
vote,decide,future,6
sp,forged,alliance,6
rahul,gandhi,prime,6
dmk,congress,alliance,6
set,country,fire,6
people,vote,congress,6
watch,live,link,6
alone,andhra,pradesh,6
congress,karnataka,elections,6
happy,new,year,6
form,congress,political,6
must,form,congress,6
registered,must,form,6
mla,das,resigns,6
dragged,us,decades,6
economy,dragged,us,6
destroyed,economy,dragged,6
crimes/hatred,destroyed,economy,6
scams/,crimes/hatred,destroyed,6
crore,tax,notice,6
adjourned,till,noon,6
legitimised,scams/,crimes/hatred,6
chief,niranjan,patnaik,6
new,year,new,6
winner,takes,political,6
fire,legitimised,scams/,6
political,plunge,joins,6
joint,select,committee,6
hai,ka,naam,6
gandhi,hai,ka,6
sent,joint,select,6
christian,michel,conform,6
political,parties,registered,6
parties,registered,must,6
says,congress,president,6
congress,political,party,6
parsi/muslim,father,catholic,6
smt,sonia,gandhi,6
corrupt,polluted,smelling,6
present,house,today,6
mps,present,house,6
salary,perks,many,6
assured,salary,perks,6
upa,chairperson,smt,6
chairperson,smt,sonia,6
split,rlsp,meeting,6
party,assured,salary,6
political,party,assured,6
rlsp,meeting,congress,6
ji,ji,ji,6
worth,rs,lakh,6
congress’,sachin,pilot,6
meeting,congress,leader,6
different,campaigns,woo,6
madhya,pradesh,seat,6
father,catholic,christian,6
yrs,undo,damage,6
india,congress,era,6
congress’,youth,wing,6
stinking,india,congress,6
charge,general,secretary,6
smelling,stinking,india,6
congress,leader,sparked,6
launches,two,different,6
two,different,campaigns,6
rs,crore,tax,6
nothing,shameful,defeat,5
leader,sparked,speculation,5
pradesh,east,nothing,5
east,nothing,shameful,5
aicc,uttar,pradesh,5
ak,antony,revealed,5
opposition,parties,including,5
hints,may,fight,5
dedicated,welfare,islands,5
works,exclusively,nonhindus,5
era,works,exclusively,5
sonia,era,works,5
funding,sonia,era,5
govts,funding,sonia,5
led,govts,funding,5
dirty,polluted,smelling,5
party,said,contest,5
exclusively,nonhindus,rs,5
said,contest,seats,5
welfare,islands,jai,5
planes,towards,fm,5
paper,planes,towards,5
threw,paper,planes,5
mps,threw,paper,5
islands,jai,congress,5
hai,modi,vision,5
missing,dirty,polluted,5
may,fight,solo,5
apprehensions,president,predictions,5
fight,solo,says,5
solo,says,dont,5
says,dont,underestimate,5
dont,underestimate,us,5
smelling,stinking,indian,5
predictions,unlikely,next,5
president,predictions,unlikely,5
despite,apprehensions,president,5
defeat,ensuing,lok,5
narendra,modi,rahul,5
forged,alliance,party,5
alliance,party,said,5
division,kejriwal,televisions,5
rahul,division,kejriwal,5
vision,rahul,division,5
modi,vision,rahul,5
shameful,defeat,ensuing,5
issue,motion,moved,5
ensuing,lok,polls,5
former,chief,minister,5
request,sent,joint,5
das,resigns,primary,5
resigns,primary,congress,5
primary,congress,post,5
congress,post,working,5
post,working,president,5
working,president,says,5
two,days,screenshot,5
last,two,days,5
prime,minister,shri,5
ahead,lok,elections,5
ram,ji,please,5
lok,polls,thank,5
interaction,programme,dr,5
gandhi,vadra,appointed,5
given,adjournment,motion,5
mps,protest,near,5
protest,near,gandhi,5
near,gandhi,statue,5
enters,politics,appointed,5
rahul,gandhi,says,5
grand,comes,power,5
efforts,grand,comes,5
sincere,efforts,grand,5
matter,request,sent,5
constitutional,matter,request,5
also,constitutional,matter,5
cong,indentify,seats,5
gandhi,ji,hard,5
fly,paper,planes,5
election,coverage,live,5
watch,election,coverage,5
study,also,constitutional,5
seat,ends,instructing,5
railways,congress,era,5
president,make,mistakes,5
make,mistakes,yes,5
mistakes,yes,current,5
yes,current,president,5
current,president,mr,5
president,price,part,5
priyanka,gandhi,appointed,5
price,part,secrecy,5
part,secrecy,pact,5
secrecy,pact,question,5
things,two,time,5
see,things,two,5
meet,seat,ends,5
allies,meet,seat,5
seats,allies,meet,5
indentify,seats,allies,5
launch,sincere,efforts,5
party,launch,sincere,5
said,party,launch,5
general,secretaries,state,5
govt,gave,waivers,5
party,general,secretary,5
two,seats,left,5
