W1,W2,W3,W4,F
really,really,really,really,74
prime,minister,narendra,modi,38
vs,vs,vs,vs,36
hon,pm,modi,jee,36
months,transformation,hon,pm,36
transformation,hon,pm,modi,36
pm,modi,jee,matter,34
pm,modi,"jee🙏🇮🇳💪😇""for",matter,32
hon,pm,modi,"jee🙏🇮🇳💪😇""for",32
transformation.our,hon,pm,modi,32
ind,voters,reject,nota,24
pm,via,namo,app,23
ppl,vote,chor,whatever,22
supporters,ppl,vote,chor,22
word,supporters,ppl,vote,22
spread,word,supporters,ppl,22
plz,spread,word,supporters,22
also,plz,spread,word,22
chor,whatever,happening,west,21
whatever,happening,west,repeated,21
vote,chor,whatever,happening,21
happening,west,repeated,india,21
prime,minister,shri,ji,21
modi,via,namo,app,21
great,leader,history,india,21
india,great,leader,history,20
god,india,great,leader,19
ace,investor,rakesh,jhunjhunwala,19
modi,god,india,great,19
philip,kotler,presidential,award,18
note,people,vote,this👇,17
corruptionfree,fraudfree,vote,thank,17
scamfree,corruptionfree,fraudfree,vote,17
country,scamfree,corruptionfree,fraudfree,17
want,country,scamfree,corruptionfree,17
plz,note,people,vote,17
high,sir💪🏽,high,sir💪🏽,17
sir💪🏽,high,sir💪🏽,high,16
projects,worth,rs,crore,16
narendra,modi,prime,minister,16
completed,survey,namo,app,16
voters,reject,nota,corrupt,15
pm,modi,via,namo,15
motion,thanks,presidents,address,15
reject,nota,corrupt,ahind,15
historic,day,decisively,pass,15
india,amendment,constitution,passed,14
amendment,constitution,passed,passes,14
historic,day,india,amendment,14
constitution,passed,passes,ayes,14
day,india,amendment,constitution,14
decisively,pass,congratulating,government,14
pass,congratulating,government,led,14
day,decisively,pass,congratulating,14
empowerment,shri,narendra,modi,13
also,want,stay,make,13
hand,also,want,stay,13
us,hand,also,want,13
call,us,hand,also,13
work,hard,coming,working,13
women,empowerment,shri,narendra,13
importance,women,empowerment,shri,13
gives,topmost,importance,women,13
always,gives,topmost,importance,13
culture,always,gives,topmost,13
odia,culture,always,gives,13
great,odia,culture,always,13
india,modi,god,india,13
topmost,importance,women,empowerment,13
would,like,se,ke,13
commie,sp,jds,ncp,13
inclusive,progress,reject,nota,13
want,work,hard,coming,13
