W1,W2,W3,W4,F
epaper,detailed,version,please,46
detailed,version,please,log,46
reason,however,great,crimes,14
family,controlled,polity,touched,14
politicians,family,controlled,polity,14
mighty,politicians,family,controlled,14
high,mighty,politicians,family,14
committed,high,mighty,politicians,14
crimes,committed,high,mighty,14
great,crimes,committed,high,14
simple,reason,however,great,14
however,great,crimes,committed,14
people,say,good,voted,9
figure,votes👍,congress,govt,9
high,figure,votes👍,congress,9
voted,high,figure,votes👍,9
good,voted,high,figure,9
say,good,voted,high,9
review,people,say,good,9
predicted,get,lok,seats,9
govt(now,uri,review,people,9
uri,review,people,say,9
reject,nota,defeat,ahind,7
nota,defeat,ahind,antinational,7
indian,voters,reject,nota,7
defeat,ahind,antinational,gali,7
ahind,antinational,gali,gali,7
antinational,gali,gali,shor,7
gali,gali,shor,hai,7
voters,reject,nota,defeat,7
ahead,predicted,get,lok,7
polls,seatsharing,deal,leaves,6
seatsharing,deal,leaves,jittery,6
deal,leaves,jittery,cold,6
prime,minister,review,less,5
accidental,prime,minister,review,5
congress,govt,accidental,prime,5
votes👍,congress,govt,accidental,5
minister,review,less,people,5
move,ahead,polls,congress,5
review,less,people,like,5
people,like,votes,low,5
surging,economy,thanks,emperor,5
choice,surging,economy,thanks,5
detailed,election,results,analysis,5
modi,govt,passed,mean,5
govt,passed,mean,empowerment”,5
passed,mean,empowerment”,prove,5
mean,empowerment”,prove,congress,5
sure,wins,thumping,majority,5
make,sure,wins,thumping,5
unite,make,sure,wins,5
congress,unite,make,sure,5
vote,congress,unite,make,5
going,vote,congress,unite,5
islamic,going,vote,congress,5
christo,islamic,going,vote,5
know,christo,islamic,going,5
hindus,know,christo,islamic,5
unity,hindus,know,christo,5
hindu,unity,hindus,know,5
short,hindu,unity,hindus,5
congress,contest,lok,seats,5
madhya,pradesh,seesaw,congress,5
perilous,post,poll,position,5
parivar’s,perilous,post,poll,5
ahead,polls,congress,makes,5
votes,low,count,votes👎,5
like,votes,low,count,5
less,people,like,votes,5
govt,accidental,prime,minister,5
army,fount,national,security,5
polls,congress,makes,army,5
congress,makes,army,fount,5
makes,army,fount,national,5
since,congress,formed,govt,4
join,forces,day,allies,4
party,leading,two,states,4
economy,thanks,emperor,re…,4
security,deposits,seats,congress,4
feel,loose,security,deposits,4
experts,feel,loose,security,4
gained,state,elections,impact,4
congress,gained,state,elections,4
loss,congress,gained,state,4
congress,dmk,join,forces,4
dmk,join,forces,day,4
heartland,states,misses,majority,4
across,country,party,leading,4
states,misses,majority,madhya,4
misses,majority,madhya,pradesh,4
forces,day,allies,aiadmk,4
day,allies,aiadmk,read,4
verdict,impact,elections,narayan,4
polls’,verdict,impact,elections,4
state,polls’,verdict,impact,4
lessons,state,polls’,verdict,4
seats,track,live,updates,4
congress,formed,govt,murders,4
challenges,lessons,state,polls’,4
empowerment”,prove,congress,who…,4
defeats,congress’,manvendra,singh,4
country,party,leading,two,4
loose,security,deposits,seats,4
party,considered,pundits,agree,4
murders,persons,disgusting,attacks,4
pundits,agree,shares,seats,4
formed,govt,murders,persons,4
considered,pundits,agree,shares,4
deposits,seats,congress,sinking,4
happening,since,congress,formed,4
sinking,party,considered,pundits,4
congress,sinking,party,considered,4
govt,murders,persons,disgusting,4
seats,congress,sinking,party,4
get,lok,seats,congress,4
agree,shares,seats,gain,4
madhya,pradesh,chief,minister,4
persons,disgusting,attacks,like,4
face,rahul,gandhi,congress,3
allies,rest,uses,old,3
allies,allies,rest,uses,3
rest,uses,old,school,3
congress,mp,joined,wednesday,3
mp,joined,wednesday,many,3
lead,alliance,says,rjd,3
leading,two,states,rajasthan,3
equipped,lead,alliance,says,3
congress,equipped,lead,alliance,3
rahul,gandhi,congress,modi,3
slap,face,rahul,gandhi,3
live,updates,watch,special,3
congress,allies,allies,rest,3
occasion,solve,jaypee,wish,3
congress,track,live,updates,3
congress,shiv,sena,pounces,3
shiv,sena,pounces,jpc,3
sena,pounces,jpc,rafale,3
stinking,india,congress,era,3
must,rise,occasion,solve,3
rise,occasion,solve,jaypee,3
solve,jaypee,wish,town,3
track,live,updates,watch,3
jaypee,wish,town,issue,3
coin,two,sides,coin,3
sides,coin,two,sides,3
two,sides,coin,two,3
congress,two,sides,coin,3
timesmega,poll,slap,face,3
poll,slap,face,rahul,3
india,congress,era,yuva,3
surveys,trend,point,towards,3
smelling,stinking,india,congress,3
congress,managed,secure,seats,3
seats,total,vote,seats,3
total,vote,seats,total,3
vote,seats,total,vote,3
continue,remain,equidistant,congress,3
odisha,cm,naveen,patnaik,3
four,seats,track,live,3
seats,four,seats,track,3
congress,modi,win,pappu,3
secure,seats,four,seats,3
managed,secure,seats,four,3
seats,congress,managed,secure,3
polluted,smelling,stinking,india,3
pradesh,seats,congress,managed,3
madhya,pradesh,seats,congress,3
centre,madhya,pradesh,seats,3
counting,centre,madhya,pradesh,3
modi,vs,rahul,rahul,3
vs,rahul,rahul,vs,3
rahul,rahul,vs,modi/shah/,3
rahul,vs,modi/shah/,media/fake,3
disgusting,attacks,like,one,3
inside,counting,centre,madhya,3
focus,nots”,woo,voters,3
seats,uttar,pradesh,defeat,3
lok,seats,uttar,pradesh,3
write,focus,nots”,woo,3
corrupt,polluted,smelling,stinking,3
dirty,corrupt,polluted,smelling,3
congress,ahead,lok,elections,3
join,congress,ahead,lok,3
quit,join,congress,ahead,3
gandhi,quit,join,congress,3
varun,gandhi,quit,join,3
missing,dirty,corrupt,polluted,3
towards,loss,loss,gains,3
point,towards,loss,loss,3
trend,point,towards,loss,3
pledge,onetime,farm,loan,3
leader,su,thirunavukkarasar,addresses,3
su,thirunavukkarasar,addresses,media,3
thirunavukkarasar,addresses,media,delhi,3
onetime,farm,loan,write,3
fell,pattern,announcing,alliance,3
pattern,announcing,alliance,says,3
farm,loan,write,focus,3
loan,write,focus,nots”,3
contest,lok,seats,uttar,3
gandhi,congress,modi,win,3
