W1,W2,W3,W4,F
strength,vote,congress,vote,106
party,voice,strength,vote,106
voice,strength,vote,congress,106
congress,party,voice,strength,100
congress,president,rahul,gandhi,47
future,peace,unity,constructiveness,40
vote,voice,country,needs,40
voice,country,needs,voice,40
needs,voice,ever,deserve,40
voice,ever,deserve,future,40
ever,deserve,future,peace,40
deserve,future,peace,unity,40
country,needs,voice,ever,40
peace,unity,constructiveness,progress,40
constructiveness,progress,freedom,express,40
progress,freedom,express,vote,40
freedom,express,vote,future,40
express,vote,future,vote,40
vote,future,vote,congress,40
unity,constructiveness,progress,freedom,40
chance,fight,election,rahul,24
give,chance,fight,election,24
fight,election,rahul,gandhi,24
please,give,chance,fight,23
sir,please,give,chance,23
pradesh,sir,please,give,23
name,rahul,gautam,im,23
jai,name,rahul,gautam,23
ki,jai,name,rahul,23
mata,ki,jai,name,23
ji,mata,ki,jai,23
pranam,ji,mata,ki,23
im,himachal,pradesh,sir,23
himachal,pradesh,sir,please,23
gautam,im,himachal,pradesh,23
rahul,gautam,im,himachal,23
appointed,congress,general,secretary,20
jai,rahul,gandhi,ji,18
iyc,vote,voice,country,18
rahul,gandhi,sir,trust,17
election,rahul,gandhi,sir,17
gandhi,sir,trust,prove,16
special,coverage,live,ndtv,16
catch,action,follow,special,15
action,follow,special,coverage,15
follow,special,coverage,live,15
parliament,today,reverts,lies,14
pandit,rahul,gautam,jai,13
rahul,gautam,jai,shiri,13
real,pandit,rahul,gautam,13
gautam,jai,shiri,ram,13
jai,shiri,ram,ji,13
today,reverts,lies,even,13
pandit,real,pandit,rahul,13
insisting,parliament,today,reverts,13
duplicate,pandit,real,pandit,13
sir,trust,prove,duplicate,12
one,nation,division,vote,12
propoganda,one,nation,division,12
nation,division,vote,congress,12
decide,love,hate,pakoda,12
trust,prove,duplicate,pandit,12
prove,duplicate,pandit,real,12
love,hate,pakoda,policies,12
policies,propoganda,one,nation,12
pakoda,policies,propoganda,one,12
hate,pakoda,policies,propoganda,12
jai,congress,party,jai,12
track,live,updates,watch,12
today,decide,love,hate,12
leader,common,leader,diamond,11
congress,party,jai,rahul,11
exits,delaying,tactic,achieve,11
frustrated,exits,delaying,tactic,11
argument,frustrated,exits,delaying,11
every,argument,frustrated,exits,11
parliament,keep,issue,alive.after,11
even,parliament,keep,issue,11
lies,even,parliament,keep,11
reverts,lies,even,parliament,11
party,jai,rahul,gandhi,11
congress,general,secretary,ahead,11
common,leader,diamond,leader,11
leader,leader,common,leader,11
general,secretary,uttar,pradesh,11
congress,president,main,question,10
alive.after,demolishes,every,argument,10
issue,alive.after,demolishes,every,10
president,main,question,anil,10
keep,issue,alive.after,demolishes,10
demolishes,every,argument,frustrated,10
secretary,uttar,pradesh,east,9
madhya,pradesh,chief,minister,9
defence,minister,nirmala,sitharaman,9
main,question,anil,contract,8
appointed,aicc,general,secretary,8
question,anil,contract,one,8
anil,contract,one,decide,8
development,jai,congress,party,8
holistic,development,jai,congress,8
campaigns,woo,young,rural,8
woo,young,rural,voters,8
ashok,gehlot,sachin,pilot,8
updates,watch,special,coverage,8
division,vote,congress,vote,8
live,updates,watch,special,8
read,track,live,updates,8
congress,chief,rahul,gandhi,8
contest,seats,uttar,pradesh,8
congress,team,dedicated,welfare,7
islands,jai,rahul,gandhi,7
gandhi,ji,jai,congress,7
rahul,gandhis,residence,delhi,7
development,islands,jai,rahul,7
watch,special,coverage,ndtv,7
congress,general,secretary,uttar,7
updates,watch,live,ndtv,7
rahul,gandhi,party,workers,7
important,needs,detailed,study,7
needs,detailed,study,also,7
agar,ka,naam,mahatma,7
ka,naam,mahatma,gandhi,7
naam,mahatma,gandhi,hai,7
congress,waive,farm,loans,7
rahul,gandhi,ji,jai,7
scams/,crimes/hatred,destroyed,economy,6
crimes/hatred,destroyed,economy,dragged,6
dirty,corrupt,polluted,smelling,6
missing,dirty,corrupt,polluted,6
years,dont,need,votes,6
destroyed,economy,dragged,us,6
economy,dragged,us,decades,6
different,campaigns,woo,young,6
upa,chairperson,smt,sonia,6
prime,minister,narendra,modi,6
gandhi,hai,ka,naam,6
legitimised,scams/,crimes/hatred,destroyed,6
triumph,rahul,gandhi,grows,6
grows,wins,allies,ahead,6
gandhi,grows,wins,allies,6
general,secretary,incharge,east,6
aicc,general,secretary,incharge,6
priyanka,gandhis,entry,politics,6
sent,joint,select,committee,6
rs,crore,tax,notice,6
launches,two,different,campaigns,6
mps,present,house,today,6
two,different,campaigns,woo,6
ji,jai,congress,party,6
gandhi,launch,party’s,campaign,6
father,catholic,christian,mother,6
set,country,fire,legitimised,6
country,fire,legitimised,scams/,6
fire,legitimised,scams/,crimes/hatred,6
team,holistic,development,jai,6
congress,team,holistic,development,6
parsi/muslim,father,catholic,christian,6
corrupt,polluted,smelling,stinking,6
rahul,gandhi,grows,wins,6
mr,gandhi,launch,party’s,6
rlsp,meeting,congress,leader,6
amid,news,split,rlsp,6
short,term,memory,like,6
aicc,general,secretary,east,6
dont,need,votes,lies,6
term,memory,like,syndrome,6
two,options,elections,choose,6
takes,political,plunge,joins,6
winner,takes,political,plunge,6
political,parties,registered,must,6
parties,registered,must,form,6
registered,must,form,congress,6
must,form,congress,political,6
form,congress,political,party,6
congress,political,party,assured,6
political,party,assured,salary,6
party,assured,salary,perks,6
assured,salary,perks,many,6
salary,perks,many,extras,6
perks,many,extras,next,6
many,extras,next,years,6
extras,next,years,dont,6
news,split,rlsp,meeting,6
mahatma,gandhi,picked,idea,6
foolish,short,term,memory,6
polluted,smelling,stinking,india,6
split,rlsp,meeting,congress,6
next,years,dont,need,6
meeting,congress,leader,sparked,6
young,rural,voters,polls,6
worth,rs,lakh,crore,6
lies,hot,air,jargon,6
votes,lies,hot,air,6
clean,foolish,short,term,6
visit,gujarat,mr,gandhi,6
smelling,stinking,india,congress,6
stinking,india,congress,era,6
need,votes,lies,hot,6
gujarat,mr,gandhi,launch,6
scam,minister,every,says,6
minister,every,says,clean,6
every,says,clean,foolish,6
says,clean,foolish,short,6
uti,scam,minister,every,6
mistakes,yes,current,president,5
president,make,mistakes,yes,5
make,mistakes,yes,current,5
era,works,exclusively,nonhindus,5
yes,current,president,mr,5
current,president,mr,macron,5
watch,election,coverage,live,5
christian,mother,hindu,janeudhari,5
mother,hindu,janeudhari,son,5
paper,planes,towards,fm,5
threw,paper,planes,towards,5
mps,threw,paper,planes,5
picked,idea,non,violence,5
gandhi,picked,idea,non,5
post,working,president,says,5
congress,post,working,president,5
primary,congress,post,working,5
resigns,primary,congress,post,5
das,resigns,primary,congress,5
mla,das,resigns,primary,5
money,question,money,disappear,5
though,money,question,money,5
even,though,money,question,5
money,even,though,money,5
revealed,money,even,though,5
antony,revealed,money,even,5
ak,antony,revealed,money,5
mahatma,gandhi,hai,ka,5
hai,modi,vision,rahul,5
modi,vision,rahul,division,5
rahul,division,kejriwal,televisions,5
detailed,election,results,analysis,5
part,secrecy,pact,question,5
price,part,secrecy,pact,5
president,price,part,secrecy,5
vision,rahul,division,kejriwal,5
congress,twitter,read,track,5
given,contracts,worth,rs,5
president,predictions,unlikely,next,5
meet,seat,ends,instructing,5
catholic,christian,mother,hindu,5
seats,allies,meet,seat,5
indentify,seats,allies,meet,5
cong,indentify,seats,allies,5
general,secretary,harish,rawat,5
said,party,launch,sincere,5
party,launch,sincere,efforts,5
launch,sincere,efforts,grand,5
sincere,efforts,grand,comes,5
efforts,grand,comes,power,5
says,dont,underestimate,us,5
solo,says,dont,underestimate,5
would,like,thank,congress,5
apprehensions,president,predictions,unlikely,5
twitter,read,track,live,5
shiri,ram,ji,please,5
fight,solo,says,dont,5
may,fight,solo,says,5
hints,may,fight,solo,5
special,coverage,day,ndtv,5
despite,apprehensions,president,predictions,5
works,exclusively,nonhindus,rs,5
party,said,contest,seats,5
alliance,party,said,contest,5
forged,alliance,party,said,5
sp,forged,alliance,party,5
led,govts,funding,sonia,5
govts,funding,sonia,era,5
funding,sonia,era,works,5
congress,leader,sparked,speculation,5
congress,leader,kamal,nath,5
first,ignore,laugh,fight,5
see,things,two,time,5
detailed,study,also,constitutional,5
study,also,constitutional,matter,5
also,constitutional,matter,request,5
constitutional,matter,request,sent,5
matter,request,sent,joint,5
request,sent,joint,select,5
ji,hard,work,dedication,5
gandhi,ji,hard,work,5
rahul,gandhi,ji,hard,5
actions,speak,says,congress,5
speak,says,congress,leader,5
says,congress,leader,ndtv,5
sonia,era,works,exclusively,5
announces,congress,twitter,read,5
minister,announces,congress,twitter,5
narendra,modi,rahul,gandhi,5
inclusive,development,islands,jai,5
team,inclusive,development,islands,5
chief,minister,announces,congress,5
pradesh,chief,minister,announces,5
congress,team,inclusive,development,5
track,updates,watch,live,5
islands,jai,congress,party,5
welfare,islands,jai,congress,5
dedicated,welfare,islands,jai,5
team,dedicated,welfare,islands,5
mps,protest,near,gandhi,5
protest,near,gandhi,statue,5
near,gandhi,statue,inside,5
allies,meet,seat,ends,5
election,coverage,live,ndtv,5
shameful,defeat,ensuing,lok,5
defeat,ensuing,lok,polls,5
indian,railways,congress,era,5
stinking,indian,railways,congress,5
smelling,stinking,indian,railways,5
priyanka,gandhi,vadra,appointed,5
manmohan,singh,lok,candidate,5
dr,manmohan,singh,lok,5
chennai,today,seats,congress,5
last,two,days,screenshot,5
ensuing,lok,polls,thank,5
sealed,chennai,today,seats,5
lok,polls,thank,ji,5
polluted,smelling,stinking,indian,5
dirty,polluted,smelling,stinking,5
missing,dirty,polluted,smelling,5
railways,congress,era,yuva,5
contest,seats,tamil,nadu,5
induction,aicc,uttar,pradesh,5
uproar,tries,play,audio,5
pradesh,east,nothing,shameful,5
congressdmk,alliance,polls,sealed,5
east,nothing,shameful,defeat,5
tries,play,audio,tape,5
first,pillar,process,second,5
nothing,shameful,defeat,ensuing,5
dmk,president,mk,stalin,5
alliance,polls,sealed,chennai,5
polls,sealed,chennai,today,5
partys,general,secretaries,state,5
aicc,uttar,pradesh,east,5
uttar,pradesh,east,nothing,5
race,time,work,make,4
approaching,race,time,work,4
dmk,congress,alliance,sealed,4
leads,waver,congress,dials,4
congress,important,needs,detailed,4
independence,noncongress,govt,never,4
leader,diamond,leader,sara,4
present,house,today,sources,4
noncongress,govt,never,got,4
whip,mps,present,house,4
issues,whip,mps,present,4
since,independence,noncongress,govt,4
leader,sara,modi,koon,4
diamond,leader,sara,modi,4
chief,minister,vasundhara,raje,4
sara,modi,koon,jeeta,4
things,rahul,gandhi,narendra,4
gandhi,narendra,modi,must,4
rahul,gandhi,narendra,modi,4
ahead,congress,president,rahul,4
allies,ahead,congress,president,4
wins,allies,ahead,congress,4
india,congress,era,yuva,4
poll,triumph,rahul,gandhi,4
hours,poll,triumph,rahul,4
fallacy,says,political,analyst,4
would,fallacy,says,political,4
gandhi,would,fallacy,says,4
rahul,gandhi,would,fallacy,4
election,rahul,gandhi,would,4
contest,uttar,pradesh,entry,4
modi,koon,jeeta,wohe,4
secretary,reckon,contest,amethi,4
general,secretary,reckon,contest,4
uttar,pradesh,entry,congress,4
congress,general,secretary,reckon,4
joining,congress,general,secretary,4
gandhi,joining,congress,general,4
jaitley,replies,rahul,gandhi,4
showdown,jaitley,replies,rahul,4
rafale,showdown,jaitley,replies,4
govt,never,got,reelected,4
congress,dials,mayawati,madhya,4
jeeta,wohe,skinder,congratulations,4
koon,jeeta,wohe,skinder,4
waver,congress,dials,mayawati,4
congress,keen,field,former,4
dials,mayawati,madhya,pradesh,4
rahul,gandhi,visit,gujarat,4
vote,decide,future,country,4
triumph,truth,time,jumlas,4
difference,vote,decide,future,4
make,difference,vote,decide,4
vote,make,difference,vote,4
christian,michel,conform,knows,4
like,prime,minister,narendra,4
rajasthan,deputy,chief,minister,4
congress,president,rahul,gandhis,4
president,rahul,gandhis,residence,4
delhi,track,live,updates,4
president,rahul,gandhi,visit,4
gandhi,visit,gujarat,mr,4
mayawati,madhya,pradesh,sources,4
crores,legal,fees,private,4
pocket,crores,legal,fees,4
also,pocket,crores,legal,4
yet,also,pocket,crores,4
someone,yet,also,pocket,4
attack,someone,yet,also,4
congress,attack,someone,yet,4
north,east,congress,coordination,4
chairman,north,east,congress,4
well,done,sis,congress,4
done,sis,congress,deliver,4
meghalaya,chairman,north,east,4
gandhis,rajasthan,decision,today,4
rahul,gandhis,rajasthan,decision,4
pilot,rahul,gandhis,rajasthan,4
decide,future,country,vote,4
congress,president,meet,party’s,4
president,meet,party’s,general,4
voted,power,rahul,gandhi,4
general,secretaries,state,incharges,4
modi,must,focus,runup,4
meet,party’s,general,secretaries/,4
party’s,general,secretaries/,incharges,4
general,secretaries/,incharges,tomorrow,4
secretaries/,incharges,tomorrow,delhi,4
incharges,tomorrow,delhi,discussion,4
aggressive,raga,corner,modi,4
raga,corner,modi,regime,4
corner,modi,regime,farm,4
modi,regime,farm,distress,4
regime,farm,distress,graft,4
farm,distress,graft,issues,4
meeting,partys,general,secretaries,4
vote,congress,vote,htt…,4
ani,track,live,updates,4
gehlot,sachin,pilot,rahul,4
country,vote,congress,htt…,4
sachin,pilot,rahul,gandhis,4
waive,farm,loans,voted,4
farm,loans,voted,power,4
future,country,vote,congress,4
narendra,modi,must,focus,4
chairperson,smt,sonia,gandhi,4
damodar,das,modi,ji,4
farm,politics,main,agenda,4
good,morning,true,india,4
may,join,upa,ahead,4
latter,may,join,upa,4
speculation,latter,may,join,4
sparked,speculation,latter,may,4
leader,sparked,speculation,latter,4
seats,congress,wherein,congress,4
congress,president,mr,address,4
president,mr,address,rally,4
mr,address,rally,march,4
address,rally,march,meeting,4
rally,march,meeting,mark,4
runup,farm,politics,main,4
gains,states,kcr,gold,4
azadi,fear,azadi,jumlas,4
said,contest,seats,uttar,4
fear,azadi,jumlas,azadi,4
azadi,jumlas,azadi,unemployment,4
