W1,W2,W3,W4,F
detailed,election,leads+results,analysis,338
click,detailed,election,leads+results,338
pm,click,detailed,election,255
trends,pm,click,detailed,255
election,trends,pm,click,255
trends,click,detailed,election,119
election,trends,click,detailed,119
new,terrain,politics,changing,114
fears,new,terrain,politics,114
thoughtfactory,new,old,fears,113
new,old,fears,new,113
old,fears,new,terrain,113
muslim,women,protection,rights,55
women,protection,rights,marriage,55
detailed,election,results,analysis,55
click,detailed,election,results,51
mess,caused,first,term,50
analysis,latest,election,results,50
live,analysis,latest,election,50
watch,live,analysis,latest,50
caused,first,term,office,49
huge,mess,caused,first,49
also,want,make,you.the,41
want,make,you.the,year,32
call,us,also,want,32
adding,hands,call,us,31
sir,adding,hands,call,31
hands,call,us,also,31
us,also,want,make,31
coming,closer,want,work,31
dna,technology,use,application,30
technology,use,application,regulation,27
new,delhi,international,centre,27
voting,stations,open,days,27
transgender,persons,protection,rights,26
year,coming,closer,want,26
read,tweet,call,us,24
sharing,glimpses,shining,india,24
glimpses,shining,india,survey,24
january,sa’s,voting,stations,24
time,address,root,causes,23
media,coverage,update,date,23
final,january,sa’s,voting,23
sa’s,voting,stations,open,23
sir,pray,pray,read,23
stations,open,days,registration,23
pray,pray,read,tweet,23
latest,election,results,madhya,23
election,results,madhya,pradesh,23
pray,read,tweet,call,23
reservation,economically,weaker,section,22
open,days,registration,updating,22
days,registration,updating,addresses,22
call,us,you.i,also,22
tweet,call,us,you.i,22
us,you.i,also,want,22
you.i,also,want,make,22
registration,updating,addresses,voting,21
updating,addresses,voting,stations,21
indian,medical,council,amendment,21
lok,passes,constitution,amendment,20
provide,reservation,economically,weaker,20
huge,mess,caused,term,19
protection,rights,marriage,passed,19
two,points,ipsos,poll,19
passes,constitution,amendment,provide,19
constitution,amendment,provide,reservation,19
points,ipsos,poll,says,19
ipsos,poll,says,lnp,19
amendment,provide,reservation,economically,19
coverage,update,date,headline,19
poll,says,lnp,primary,19
says,lnp,primary,nonmetrop,19
closer,want,work,election.which,19
lnp,primary,nonmetrop,oz,19
primary,nonmetrop,oz,alp,19
nonmetrop,oz,alp,women,19
want,work,election.which,strengthen,18
ap,elections,dot,news,18
year,near,want,work,18
economically,weaker,section,society,18
alp,women,lnp,alp,18
work,election.which,strengthen,party,18
israel,resilience,yesh,atid,18
oz,alp,women,lnp,18
akp,chair,president,erdoğan,18
likud,israel,resilience,yesh,18
poll,likud,israel,resilience,18
make,you.the,year,coming,18
you.the,year,coming,closer,18
madhya,pradesh,chief,minister,17
coming,time,stop,disastrous,17
new,dates,postponement,details,17
get,right,time,control,17
time,stop,disastrous,make,17
lets,get,right,time,17
hillary,rodham,clinton,logical,17
rodham,clinton,logical,choice,17
inec,releases,new,dates,17
releases,new,dates,postponement,17
choice,lets,get,right,17
clinton,logical,choice,lets,17
logical,choice,lets,get,17
elections,dot,news,link,17
waste,votes,omoyele,sowore,16
inec,chairman,meets,stakeholders,16
election,commissioner,sunil,arora,16
chief,election,commissioner,sunil,16
economist,author,ruchir,sharma,16
stop,disastrous,make,count,16
decide,waste,votes,omoyele,16
people,decide,waste,votes,16
million,people,decide,waste,16
exactly,million,people,decide,16
announced,first,week,march,16
top,gainers,top,losers,16
top,top,gainers,top,16
top,top,top,gainers,16
disastrous,make,count,heard,16
section,society,higher,educational,16
election,inec,chairman,meets,16
society,higher,educational,institutions,15
results,click,detailed,election,15
weaker,section,society,higher,15
vote,click,easy,hasslefree,15
registered,vote,click,easy,15
votes,omoyele,sowore,slavery,15
constitution,one,hundred,twentyfourth,15
click,easy,hasslefree,way,15
easy,hasslefree,way,check,15
